"outcomes" -- "depression"
"fracture mechanics" -- "composite materials"
"fracture mechanics" -- "elasticity"
"fracture mechanics" -- "computational mechanics"
"microbiome" -- "microbiology"
"surface chemistry" -- "flotation"
"politics" -- "religion"
"politics" -- "gender"
"politics" -- "history"
"quantitative finance" -- "financial econometrics"
"lab-on-a-chip" -- "microfluidics"
"toxicology" -- "pharmacology"
"refugees" -- "migration"
"pharmacy" -- "pharmacology"
"insect ecology" -- "entomology"
"plant physiology" -- "molecular biology"
"plant physiology" -- "abiotic stress"
"plant physiology" -- "photosynthesis"
"plant physiology" -- "horticulture"
"plant physiology" -- "plant nutrition"
"cancer immunology" -- "immunotherapy"
"occupational therapy" -- "rehabilitation"
"parallel" -- "distributed computing"
"statistical inference" -- "machine learning"
"continuum mechanics" -- "computational mechanics"
"causal inference" -- "program evaluation"
"anesthesiology" -- "critical care"
"animal welfare" -- "animal behaviour"
"nuclear engineering" -- "heat transfer"
"environmental geochemistry" -- "hydrogeology"
"gamification" -- "serious games"
"nitrogen cycling" -- "microbial ecology"
"social history" -- "economic history"
"body image" -- "eating disorders"
"political geography" -- "migration"
"biologia" -- "farmacologia"
"organic chemistry" -- "polymer chemistry"
"organic chemistry" -- "catalysis"
"organic chemistry" -- "carbohydrate chemistry"
"organic chemistry" -- "synthesis"
"micologia" -- "ecologia"
"micologia" -- "microbiologia"
"medical physics" -- "medical imaging"
"medical physics" -- "radiation therapy"
"medical physics" -- "radiotherapy"
"medical physics" -- "monte carlo"
"medical physics" -- "radiation oncology"
"medical physics" -- "monte carlo simulation"
"household finance" -- "behavioral finance"
"medical image computing" -- "medical image analysis"
"traffic flow theory" -- "network modeling"
"traffic flow theory" -- "intelligent transportation systems"
"innovation" -- "entrepreneurship"
"innovation" -- "science policy"
"innovation" -- "evolutionary theory"
"innovation" -- "new product development"
"innovation" -- "technology"
"innovation" -- "strategy"
"innovation" -- "standards"
"innovation" -- "business models"
"innovation" -- "competition"
"innovation" -- "marketing strategy"
"photochemistry" -- "physical chemistry"
"photochemistry" -- "photophysics"
"molecular beam epitaxy" -- "semiconductors"
"catalysis" -- "biomass conversion"
"catalysis" -- "metal-organic frameworks"
"catalysis" -- "energy"
"catalysis" -- "hydrogen storage"
"catalysis" -- "dft"
"catalysis" -- "organometallic chemistry"
"catalysis" -- "organometallics"
"catalysis" -- "ionic liquids"
"catalysis" -- "electrochemistry"
"catalysis" -- "zeolites"
"catalysis" -- "adsorption"
"catalysis" -- "surface science"
"construction" -- "project management"
"transport phenomena" -- "fluid mechanics"
"conversion" -- "energy storage"
"design automation" -- "embedded systems"
"data assimilation" -- "prediction"
"data assimilation" -- "remote sensing"
"mass spectrometry" -- "analytical chemistry"
"mass spectrometry" -- "metabolomics"
"mass spectrometry" -- "proteomics"
"mass spectrometry" -- "lipidomics"
"recommender systems" -- "machine learning"
"hematology" -- "thrombosis"
"single molecule biophysics" -- "molecular motors"
"manufacturing" -- "machining"
"microbiology" -- "immunology"
"microbiology" -- "microbiota"
"microbiology" -- "molecular biology"
"microbiology" -- "bacteriology"
"microbiology" -- "host-pathogen interactions"
"microbiology" -- "enzymes"
"microbiology" -- "molecular genetics"
"microbiology" -- "bacteria"
"microbiology" -- "biotechnology"
"microbiology" -- "bacterial pathogenesis"
"microbiology" -- "microbial ecology"
"microbiology" -- "antimicrobials"
"microbiology" -- "antimicrobial resistance"
"microbiology" -- "pathogenesis"
"microbiology" -- "food safety"
"microbiology" -- "bacteriophage"
"microbiology" -- "mycology"
"microbiology" -- "probiotics"
"microbiology" -- "antibiotic resistance"
"social interaction" -- "language"
"fuzzy systems" -- "machine learning"
"health services research" -- "health policy"
"tic" -- "educación"
"gas separation" -- "membranes"
"molecular spectroscopy" -- "physical chemistry"
"mathematics education" -- "teacher education"
"bioremediation" -- "environmental microbiology"
"chemometrics" -- "analytical chemistry"
"sts" -- "hci"
"self-organization" -- "complexity"
"physiology" -- "cardiovascular"
"protein biochemistry" -- "structural biology"
"polymers" -- "biomaterials"
"polymers" -- "adhesion"
"polymers" -- "nanocomposites"
"polymers" -- "membranes"
"hepatology" -- "gastroenterology"
"discrimination" -- "prejudice"
"juvenile justice" -- "delinquency"
"culture" -- "gender"
"heterogeneous catalysis" -- "surface science"
"calcium signaling" -- "ion channels"
"sustainability" -- "resilience"
"sustainability" -- "life cycle assessment"
"sustainability" -- "disaster management"
"sustainability" -- "environmental management"
"sustainability" -- "energy"
"sustainability" -- "csr"
"sustainability" -- "values"
"sociology of science" -- "technology"
"information security" -- "digital forensics"
"travel behavior" -- "transportation"
"travel behavior" -- "transportation planning"
"aphasia" -- "language"
"decision theory" -- "game theory"
"ultrasound" -- "medical imaging"
"metamorphic petrology" -- "tectonics"
"photocatalysis" -- "solar energy conversion"
"neuroinformatics" -- "machine learning"
"graphical models" -- "machine learning"
"urban studies" -- "human geography"
"mobile security" -- "system security"
"assessment" -- "medical education"
"assessment" -- "school psychology"
"assessment" -- "evaluation"
"nonlinear optics" -- "optical fiber"
"nonlinear optics" -- "fiber lasers"
"game theory" -- "economic theory"
"game theory" -- "microeconomic theory"
"game theory" -- "contract theory"
"game theory" -- "mechanism design"
"game theory" -- "experimental economics"
"image analysis" -- "computer vision"
"cfd" -- "fea"
"cfd" -- "heat transfer"
"classification" -- "machine learning"
"tumor biology" -- "immunology"
"communication" -- "information"
"communication" -- "social change"
"communication" -- "media studies"
"proteins" -- "peptides"
"proteins" -- "biophysics"
"evidence-based practice" -- "mental health"
"remote sensing" -- "hyperspectral imaging"
"remote sensing" -- "giscience"
"remote sensing" -- "forest"
"remote sensing" -- "glaciology"
"remote sensing" -- "geographic information science"
"remote sensing" -- "geographic information systems"
"remote sensing" -- "hydrology"
"remote sensing" -- "photogrammetry"
"remote sensing" -- "forestry"
"remote sensing" -- "lidar"
"remote sensing" -- "spatial modeling"
"coastal engineering" -- "sediment transport"
"coastal engineering" -- "ocean engineering"
"host-parasite interactions" -- "evolution"
"exercise psychology" -- "sport psychology"
"exercise psychology" -- "sport"
"exercise" -- "physical activity"
"its" -- "simulation"
"influenza" -- "virology"
"measurement" -- "instrumentation"
"medical anthropology" -- "global health"
"clinical pharmacology" -- "pharmacokinetics"
"palliative care" -- "cancer"
"anxiety disorders" -- "clinical psychology"
"archaeology" -- "prehistory"
"archaeology" -- "anthropology"
"archaeology" -- "heritage"
"data mining" -- "databases"
"data mining" -- "data privacy"
"data mining" -- "business intelligence"
"data mining" -- "social networks"
"data mining" -- "graph mining"
"data mining" -- "business analytics"
"data mining" -- "machine learning"
"data mining" -- "clustering"
"social neuroscience" -- "theory of mind"
"social neuroscience" -- "social psychology"
"music technology" -- "music education"
"biophysics" -- "statistical mechanics"
"biophysics" -- "biochemistry"
"biophysics" -- "fluorescence"
"biophysics" -- "atomic force microscopy"
"biophysics" -- "physical chemistry"
"biophysics" -- "molecular dynamics"
"biophysics" -- "soft condensed matter"
"biophysics" -- "soft matter"
"biophysics" -- "polymer physics"
"biophysics" -- "molecular motors"
"biophysics" -- "magnetic resonance"
"functional programming" -- "programming languages"
"fish biology" -- "aquaculture"
"consumer behaviour" -- "social marketing"
"youth" -- "gender"
"youth" -- "children"
"hybrid systems" -- "control theory"
"development economics" -- "labor economics"
"development economics" -- "environmental economics"
"micro" -- "nanofluidics"
"ecosystem functioning" -- "biodiversity"
"isotopes" -- "geochemistry"
"interaction" -- "augmented reality"
"computer animation" -- "computer graphics"
"data visualization" -- "machine learning"
"multiple sclerosis" -- "neurology"
"entomology" -- "chemical ecology"
"entomology" -- "biological control"
"biomaterials" -- "tissue engineering"
"biomaterials" -- "nano"
"biomaterials" -- "bioengineering"
"biomaterials" -- "drug delivery systems"
"biomaterials" -- "biomineralization"
"biomaterials" -- "surface modification"
"biomaterials" -- "self-assembly"
"biomaterials" -- "hydrogels"
"biomaterials" -- "gene delivery"
"biomaterials" -- "extracellular matrix"
"biomaterials" -- "dental materials"
"creative writing" -- "poetry"
"creative writing" -- "literature"
"surfactants" -- "colloids"
"perception" -- "attention"
"perception" -- "action"
"neural networks" -- "machine learning"
"systems" -- "networks"
"water resources" -- "hydrology"
"estimation" -- "control"
"estimation" -- "detection"
"renewable energy systems" -- "power electronics"
"embedded systems" -- "fpgas"
"embedded systems" -- "cyber-physical systems"
"embedded systems" -- "real-time systems"
"embedded systems" -- "fpga"
"corrosion" -- "coatings"
"corrosion" -- "electrochemistry"
"network science" -- "complex systems"
"constitutive modeling" -- "computational mechanics"
"ecosystem modeling" -- "biogeochemistry"
"psychology" -- "education"
"psychology" -- "forensic psychology"
"psychology" -- "social psychology"
"sport marketing" -- "consumer behavior"
"metabolic engineering" -- "synthetic biology"
"gastroenterology" -- "immunology"
"gastroenterology" -- "inflammatory bowel disease"
"biological oceanography" -- "microbial ecology"
"business" -- "management"
"optical communications" -- "photonics"
"transplantation" -- "immunology"
"network analysis" -- "machine learning"
"radiation oncology" -- "lung cancer"
"postcolonial studies" -- "cultural studies"
"behavioural neuroscience" -- "addiction"
"cognitive science" -- "embodied cognition"
"cognitive science" -- "computational modeling"
"cognitive science" -- "philosophy"
"media psychology" -- "media effects"
"wastewater" -- "water"
"harmonic analysis" -- "partial differential equations"
"harmonic analysis" -- "functional analysis"
"economics of education" -- "labor economics"
"paleoclimate" -- "geochemistry"
"behavioral neuroscience" -- "memory"
"aggression" -- "bullying"
"adolescent development" -- "child"
"medical education" -- "emergency medicine"
"face perception" -- "face recognition"
"middle east" -- "islam"
"behaviour change" -- "health psychology"
"enhanced oil recovery" -- "reservoir engineering"
"thermal sciences" -- "heat transfer"
"thermal sciences" -- "nanoscale heat transfer"
"social justice" -- "education"
"discourse analysis" -- "multimodality"
"mri" -- "medical imaging"
"mri" -- "brain"
"mri" -- "pet"
"engineering geology" -- "rock mechanics"
"category theory" -- "logic"
"social influence" -- "emotion"
"financial accounting" -- "capital markets"
"energy management" -- "renewable energy"
"international relations" -- "international security"
"international relations" -- "conflict"
"international relations" -- "political science"
"international relations" -- "foreign policy"
"international relations" -- "international organizations"
"international relations" -- "conflict resolution"
"international relations" -- "global governance"
"international relations" -- "human rights"
"industrial relations" -- "human resource management"
"critical pedagogy" -- "education"
"economic history" -- "business history"
"virtual worlds" -- "serious games"
"instrumentation" -- "sensors"
"text mining" -- "machine learning"
"lc-ms" -- "metabolomics"
"lc-ms" -- "ms"
"surgery" -- "trauma"
"molecular" -- "cell biology"
"molecular" -- "atomic"
"colloids" -- "interfacial phenomena"
"colloids" -- "emulsions"
"colloids" -- "soft matter"
"colloids" -- "wetting"
"colloids" -- "interface science"
"condition monitoring" -- "fault diagnosis"
"structural geology" -- "tectonics"
"system modeling" -- "simulation"
"computational imaging" -- "computer vision"
"memristor" -- "neuromorphic computing"
"wireless networks" -- "vehicular networks"
"wireless networks" -- "mobile computing"
"wireless networks" -- "mobile systems"
"wireless networks" -- "network economics"
"big data" -- "analytics"
"big data" -- "machine learning"
"computer graphics" -- "visualization"
"computer graphics" -- "scientific visualization"
"computer graphics" -- "geometry processing"
"computer graphics" -- "computer vision"
"computer graphics" -- "animation"
"computer graphics" -- "virtual reality"
"mathematical biology" -- "dynamical systems"
"comparative literature" -- "cultural studies"
"formal methods" -- "petri nets"
"formal methods" -- "verification"
"formal methods" -- "software verification"
"biotechnology" -- "life sciences"
"biotechnology" -- "biochemical engineering"
"biotechnology" -- "biofuels"
"turbulence" -- "numerical simulation"
"turbulence" -- "fluid mechanics"
"turbulence" -- "computational fluid dynamics"
"turbulence" -- "waves"
"género" -- "comunicación"
"género" -- "educación"
"nonlinear dynamics" -- "chaos"
"nonlinear dynamics" -- "synchronization"
"nonlinear dynamics" -- "complex systems"
"molecular epidemiology" -- "infectious diseases"
"quantum dots" -- "solar cells"
"space" -- "architecture"
"biological physics" -- "statistical physics"
"soil physics" -- "hydrology"
"judgment" -- "decision making"
"bionanotechnology" -- "biosensors"
"self-assembly" -- "block copolymers"
"plant systematics" -- "evolution"
"history of medicine" -- "history of science"
"leukemia" -- "cancer"
"object recognition" -- "computer vision"
"membrane biophysics" -- "molecular dynamics"
"spectroscopy" -- "physical chemistry"
"race" -- "racism"
"race" -- "gender"
"fisheries management" -- "fisheries"
"diversity" -- "gender"
"diversity" -- "inclusion"
"reliability" -- "electronic packaging"
"reliability" -- "maintenance"
"sociología" -- "educación"
"higher education policy" -- "management"
"environmental communication" -- "science communication"
"computational physics" -- "condensed matter physics"
"microalgae" -- "biofuels"
"animal science" -- "nutrition"
"technology" -- "history of science"
"technology" -- "education"
"technology" -- "food science"
"ptsd" -- "trauma"
"neurodegeneration" -- "protein aggregation"
"syntax" -- "linguistics"
"syntax" -- "morphology"
"labor economics" -- "microeconometrics"
"labor economics" -- "macroeconomics"
"labor economics" -- "public finance"
"crowdfunding" -- "entrepreneurship"
"condensed matter theory" -- "strongly correlated systems"
"political communication" -- "science communication"
"political communication" -- "media effects"
"political communication" -- "public opinion"
"political communication" -- "journalism"
"animal behaviour" -- "bioacoustics"
"animal behaviour" -- "social learning"
"animal behaviour" -- "animal cognition"
"computational biomechanics" -- "finite element analysis"
"economic growth" -- "macroeconomics"
"composite structures" -- "steel"
"programming languages" -- "type theory"
"programming languages" -- "concurrency"
"statistical modeling" -- "machine learning"
"multiferroics" -- "ferroelectrics"
"child" -- "adolescent health"
"photonics" -- "optics"
"hydraulic fracturing" -- "geomechanics"
"water" -- "sanitation"
"water" -- "soil"
"public transport" -- "transportation planning"
"protein design" -- "structural biology"
"glycobiology" -- "structural biology"
"corporate finance" -- "financial markets"
"thermal management" -- "heat transfer"
"queer theory" -- "gender"
"laser spectroscopy" -- "physical chemistry"
"aerodynamics" -- "fluid mechanics"
"aerodynamics" -- "wind turbines"
"academic libraries" -- "information literacy"
"food science" -- "food engineering"
"global health" -- "epidemiology"
"resource allocation" -- "wireless communications"
"innovation management" -- "open innovation"
"innovation management" -- "entrepreneurship"
"knowledge representation" -- "reasoning"
"phytochemistry" -- "natural products"
"phytochemistry" -- "pharmacognosy"
"information retrieval" -- "machine learning"
"information retrieval" -- "search"
"sustainable energy" -- "environment"
"development studies" -- "human geography"
"multimedia" -- "computer vision"
"magnetism" -- "magnetic materials"
"magnetism" -- "neutron scattering"
"magnetism" -- "condensed matter physics"
"brain tumors" -- "neurosurgery"
"biodiversity" -- "ecosystems"
"angiogenesis" -- "cancer"
"quaternary geology" -- "geomorphology"
"special education" -- "inclusive education"
"cancer biology" -- "therapeutics"
"cancer biology" -- "tumor immunology"
"cancer biology" -- "molecular biology"
"cultural studies" -- "american studies"
"cultural studies" -- "media studies"
"india" -- "gender"
"medical sociology" -- "gender"
"neuroeconomics" -- "decision making"
"colonialism" -- "history"
"mirna" -- "cancer"
"geotechnical engineering" -- "geomechanics"
"geotechnical engineering" -- "rock mechanics"
"performance" -- "theatre"
"storage" -- "energy conversion"
"storage" -- "carbon capture"
"renewables" -- "energy"
"linguistics" -- "translation studies"
"linguistics" -- "translation"
"linguistics" -- "phonetics"
"linguistics" -- "semiotics"
"petroleum geology" -- "sedimentology"
"drug" -- "gene delivery"
"multiscale modeling" -- "computational mechanics"
"network theory" -- "complex systems"
"dna nanotechnology" -- "synthetic biology"
"experimental economics" -- "behavioural economics"
"macroeconomics" -- "monetary policy"
"macroeconomics" -- "international finance"
"macroeconomics" -- "financial economics"
"macroeconomics" -- "time series econometrics"
"macroeconomics" -- "finance"
"natural resource economics" -- "environmental economics"
"environmental economics" -- "energy economics"
"environmental economics" -- "agricultural economics"
"environmental economics" -- "resource economics"
"information literacy" -- "digital literacy"
"information literacy" -- "library"
"real estate" -- "urban economics"
"real estate" -- "finance"
"climatology" -- "meteorology"
"electrospinning" -- "nanofibers"
"electrospinning" -- "tissue engineering"
"sedimentology" -- "stratigraphy"
"social movements" -- "gender"
"social movements" -- "political sociology"
"social movements" -- "civil society"
"digital marketing" -- "branding"
"biophotonics" -- "biomedical optics"
"biophotonics" -- "optics"
"digital signal processing" -- "machine learning"
"cardiovascular disease" -- "diabetes"
"heritage" -- "museums"
"otolaryngology" -- "head"
"children" -- "adolescence"
"data integration" -- "databases"
"photography" -- "history"
"separation" -- "membranes"
"systematics" -- "evolution"
"virology" -- "immunology"
"regional" -- "urban economics"
"longitudinal data analysis" -- "survival analysis"
"behavior change" -- "nutrition"
"time series analysis" -- "machine learning"
"lca" -- "energy"
"elections" -- "public opinion"
"natural language processing" -- "machine learning"
"natural language processing" -- "language technology"
"congress" -- "american politics"
"quality" -- "patient safety"
"quality" -- "safety"
"health psychology" -- "social psychology"
"health psychology" -- "chronic pain"
"health psychology" -- "behavioral medicine"
"empathy" -- "emotion"
"hydrology" -- "hydrogeology"
"hydrology" -- "hydrological modeling"
"hydrology" -- "fluvial geomorphology"
"hydrology" -- "uncertainty analysis"
"hydrology" -- "geomorphology"
"hydrology" -- "sediment transport"
"chemical physics" -- "physical chemistry"
"pharmacology" -- "pharmacokinetics"
"neurobiology" -- "neuroethology"
"psychophysiology" -- "emotion"
"feminism" -- "gender"
"exercise science" -- "sport"
"social cognition" -- "developmental psychology"
"social cognition" -- "social psychology"
"privacy" -- "security"
"topological insulators" -- "superconductors"
"topological insulators" -- "condensed matter physics"
"low power" -- "vlsi"
"ai" -- "machine learning"
"vlsi" -- "neuromorphic computing"
"sensors" -- "actuators"
"sensors" -- "flexible electronics"
"sensors" -- "mems"
"memory" -- "learning"
"memory" -- "hippocampus"
"item response theory" -- "psychometrics"
"political philosophy" -- "moral philosophy"
"social networks" -- "social capital"
"tobacco control" -- "public health"
"literature" -- "philosophy"
"literature" -- "literary theory"
"tracking" -- "computer vision"
"bioprocessing" -- "biofuels"
"approximation algorithms" -- "algorithmic game theory"
"metallurgy" -- "solidification"
"metallurgy" -- "steel"
"mimo" -- "wireless communications"
"policy" -- "energy"
"visual cognition" -- "attention"
"galaxy formation" -- "cosmology"
"food microbiology" -- "food safety"
"molecular diagnostics" -- "infectious diseases"
"peace" -- "conflict"
"face recognition" -- "computer vision"
"head" -- "neuroradiology"
"infectious diseases" -- "immunology"
"infectious diseases" -- "tuberculosis"
"infectious diseases" -- "pediatrics"
"health behavior" -- "health disparities"
"energy" -- "environment"
"energy" -- "power"
"globalization" -- "gender"
"phylogeny" -- "evolution"
"homelessness" -- "housing"
"porous media" -- "heat transfer"
"geochemistry" -- "geochronology"
"geochemistry" -- "igneous petrology"
"geochemistry" -- "mineralogy"
"geochemistry" -- "economic geology"
"solar cells" -- "led"
"public opinion" -- "political behavior"
"public opinion" -- "american politics"
"public opinion" -- "voting behavior"
"algebraic geometry" -- "computer algebra"
"algebraic geometry" -- "number theory"
"curriculum" -- "pedagogy"
"geotechnical earthquake engineering" -- "soil-structure interaction"
"consumer behavior" -- "decision making"
"movement disorders" -- "neurology"
"music information retrieval" -- "machine learning"
"mood disorders" -- "bipolar disorder"
"legal theory" -- "law"
"computational mechanics" -- "micromechanics"
"computational mechanics" -- "structural mechanics"
"computational mechanics" -- "finite elements"
"plant-insect interactions" -- "chemical ecology"
"business ethics" -- "corporate social responsibility"
"waste management" -- "life cycle assessment"
"control" -- "robótica"
"control" -- "system dynamics"
"control" -- "nonlinear systems"
"control" -- "dynamical systems"
"teacher education" -- "professional development"
"teacher education" -- "art education"
"audio" -- "acoustics"
"probability theory" -- "mathematical finance"
"medical ethics" -- "bioethics"
"family" -- "gender"
"electrokinetics" -- "microfluidics"
"geomatics" -- "photogrammetry"
"bipolar disorder" -- "schizophrenia"
"english literature" -- "digital humanities"
"physical therapy" -- "rehabilitation"
"cities" -- "urban planning"
"pedagogy" -- "education"
"social work" -- "mental health"
"literatura" -- "traducción"
"literatura" -- "art"
"entrepreneurship" -- "social entrepreneurship"
"entrepreneurship" -- "organization theory"
"psychometrics" -- "structural equation modeling"
"multilingualism" -- "bilingualism"
"acoustics" -- "ultrasonics"
"theoretical condensed matter physics" -- "statistical mechanics"
"accounting" -- "finance"
"accounting" -- "tax"
"devices" -- "electronic materials"
"telecommunications" -- "networks"
"data analytics" -- "machine learning"
"histology" -- "cell biology"
"segmentation" -- "machine learning"
"substance abuse" -- "mental health"
"scanning probe microscopy" -- "surface science"
"regional planning" -- "urban"
"cognitive linguistics" -- "corpus linguistics"
"cartilage" -- "tissue engineering"
"political science" -- "public policy"
"political science" -- "survey methodology"
"data analysis" -- "machine learning"
"computer vision" -- "medical imaging"
"computer vision" -- "graphics"
"computer vision" -- "mobile robotics"
"computer vision" -- "biomedical image analysis"
"computer vision" -- "3d reconstruction"
"computer vision" -- "augmented reality"
"computer vision" -- "machine learning"
"philosophy of education" -- "philosophy"
"hearing" -- "cochlear implants"
"hearing" -- "audiology"
"statistical learning" -- "machine learning"
"fault diagnosis" -- "fault tolerant control"
"cognition" -- "aging"
"cognition" -- "language"
"cognition" -- "emotion"
"soil science" -- "agronomy"
"soil science" -- "biochar"
"crystallography" -- "structural biology"
"auditory neuroscience" -- "computational neuroscience"
"dark matter" -- "cosmology"
"protein dynamics" -- "structural biology"
"auctions" -- "industrial organization"
"statistical physics" -- "complex systems"
"materials" -- "chemistry"
"civic engagement" -- "education"
"glass" -- "ceramics"
"atomic" -- "optical physics"
"cad" -- "cam"
"nmr spectroscopy" -- "structural biology"
"cyanobacteria" -- "photosynthesis"
"mental health" -- "psychiatry"
"epidemiology" -- "child health"
"epidemiology" -- "obstetrics"
"epidemiology" -- "mathematical modeling"
"epidemiology" -- "pharmacoepidemiology"
"epidemiology" -- "environmental health"
"epidemiology" -- "population health"
"epidemiology" -- "public health"
"epidemiology" -- "nutrition"
"fisheries" -- "aquaculture"
"fisheries" -- "fish ecology"
"crime" -- "delinquency"
"crime" -- "criminology"
"cytoskeleton" -- "cell biology"
"thermal energy storage" -- "nanofluidics"
"evolutionary psychology" -- "social psychology"
"pathology" -- "immunology"
"psychotherapy" -- "clinical psychology"
"structural equation modeling" -- "multilevel modeling"
"soil erosion" -- "geomorphology"
"astronomy" -- "exoplanets"
"cancer research" -- "molecular biology"
"analytical chemistry" -- "environmental chemistry"
"analytical chemistry" -- "chemical oceanography"
"computational neuroscience" -- "machine learning"
"arquitectura" -- "urbanismo"
"arquitectura" -- "historia del arte"
"electrochemistry" -- "conducting polymers"
"electrochemistry" -- "solid oxide fuel cells"
"electrochemistry" -- "energy storage"
"isotope geochemistry" -- "geochronology"
"organization theory" -- "institutional theory"
"electronic design automation" -- "computer-aided design"
"lighting" -- "architecture"
"plant breeding" -- "plant genetics"
"developmental psychopathology" -- "resilience"
"biosensors" -- "nanobiotechnology"
"anthropology" -- "ethnography"
"microelectronics" -- "nanoelectronics"
"interferometry" -- "optics"
"parallel algorithms" -- "high performance computing"
"cyber security" -- "network security"
"bibliometrics" -- "scientometrics"
"nanofluidics" -- "microfluidics"
"applied statistics" -- "machine learning"
"public health" -- "dentistry"
"public health" -- "primary care"
"public health" -- "tobacco"
"public health" -- "health inequalities"
"transnationalism" -- "migration"
"medical image processing" -- "machine learning"
"comparative education" -- "education policy"
"intelligent transportation systems" -- "machine learning"
"physical geography" -- "geomorphology"
"x-ray" -- "neutron scattering"
"learning sciences" -- "educational technology"
"simulation" -- "agent-based modeling"
"dynamical systems" -- "fractals"
"dynamical systems" -- "differential equations"
"contracts" -- "law"
"fluid-structure interaction" -- "computational fluid dynamics"
"natural hazards" -- "geomorphology"
"natural hazards" -- "landslides"
"electrical" -- "computer engineering"
"ecosystem ecology" -- "biogeochemistry"
"biochemistry" -- "structural biology"
"biochemistry" -- "cell biology"
"biochemistry" -- "molecular biology"
"psychoanalysis" -- "clinical psychology"
"phonetics" -- "phonology"
"phonetics" -- "speech perception"
"microfabrication" -- "mems"
"american studies" -- "american literature"
"risk analysis" -- "decision analysis"
"substance use" -- "adolescent health"
"optics" -- "optical tweezers"
"optics" -- "adaptive optics"
"optics" -- "holography"
"optics" -- "lasers"
"microbiologia" -- "biologia molecular"
"complex systems" -- "networks"
"complex systems" -- "evolutionary game theory"
"regional economics" -- "urban"
"education policy" -- "sociology of education"
"education policy" -- "educational leadership"
"finance" -- "banking"
"finance" -- "investments"
"educação" -- "art"
"inverse problems" -- "uncertainty quantification"
"inverse problems" -- "tomography"
"visual analytics" -- "information visualization"
"atherosclerosis" -- "diabetes"
"system security" -- "networks"
"biological anthropology" -- "bioarchaeology"
"biological anthropology" -- "primatology"
"pattern recognition" -- "machine learning"
"inequality" -- "poverty"
"inequality" -- "gender"
"cochlear implants" -- "psychoacoustics"
"vitamin d" -- "nutrition"
"pricing" -- "revenue management"
"comparative physiology" -- "ecophysiology"
"microsystems" -- "mems"
"ultrafast spectroscopy" -- "physical chemistry"
"industrial" -- "organizational psychology"
"wound healing" -- "tissue engineering"
"healthcare" -- "machine learning"
"intellectual history" -- "history of science"
"urbanismo" -- "turismo"
"physiotherapy" -- "rehabilitation"
"urban" -- "architecture"
"exercise physiology" -- "sports science"
"exercise physiology" -- "nutrition"
"history" -- "art history"
"gravitation" -- "cosmology"
"fluid mechanics" -- "heat transfer"
"fluid mechanics" -- "flow control"
"visual perception" -- "attention"
"plastic surgery" -- "tissue engineering"
"social science" -- "human"
"speech recognition" -- "machine learning"
"networks" -- "security"
"geoarchaeology" -- "geomorphology"
"human geography" -- "cultural geography"
"parallel computing" -- "high performance computing"
"parallel computing" -- "gpu computing"
"energy harvesting" -- "mems"
"negotiation" -- "conflict"
"soil ecology" -- "biogeochemistry"
"tissue engineering" -- "regenerative medicine"
"tissue engineering" -- "cell therapy"
"tissue engineering" -- "mechanotransduction"
"islam" -- "religion"
"antarctica" -- "glaciology"
"nitric oxide" -- "oxidative stress"
"empirical asset pricing" -- "international finance"
"copyright" -- "open access"
"mucosal immunology" -- "immunology"
"child development" -- "early childhood education"
"child development" -- "education"
"organic solar cells" -- "perovskite solar cells"
"mathematical finance" -- "stochastic analysis"
"mathematical finance" -- "stochastic control"
"learning" -- "teaching"
"learning" -- "mentoring"
"rivers" -- "geomorphology"
"computational" -- "network security"
"statistical mechanics" -- "phase transitions"
"bioethics" -- "research ethics"
"allergy" -- "immunology"
"immunotherapy" -- "immunology"
"life cycle assessment" -- "industrial ecology"
"art history" -- "visual culture"
"algorithms" -- "theoretical computer science"
"algorithms" -- "data structures"
"algorithms" -- "theory of computation"
"algorithms" -- "complexity"
"algorithms" -- "graphs"
"algorithms" -- "machine learning"
"algorithms" -- "algorithmic game theory"
"tectonics" -- "paleomagnetism"
"agent-based modeling" -- "complex adaptive systems"
"printed electronics" -- "flexible electronics"
"translational research" -- "immunology"
"materials physics" -- "condensed matter"
"open access" -- "library"
"nuclear medicine" -- "molecular imaging"
"resilience" -- "disasters"
"resilience" -- "social-ecological systems"
"resilience" -- "vulnerability"
"dsp" -- "fpga"
"online learning" -- "educational technology"
"labour" -- "gender"
"mobile computing" -- "pervasive computing"
"lingüística" -- "traducción"
"reinforcement learning" -- "machine learning"
"microbial ecology" -- "biodegradation"
"microbial ecology" -- "microbial evolution"
"microbial ecology" -- "environmental microbiology"
"microbial ecology" -- "biogeochemistry"
"biogeochemistry" -- "geomicrobiology"
"road safety" -- "transportation"
"general surgery" -- "vascular surgery"
"sediment transport" -- "coastal"
"nonlinear analysis" -- "partial differential equations"
"molecular medicine" -- "cellular"
"historical linguistics" -- "phonology"
"crowdsourcing" -- "machine learning"
"agriculture" -- "food"
"structural biology" -- "membrane proteins"
"data fusion" -- "machine learning"
"software development" -- "machine learning"
"cancer" -- "immunology"
"cancer" -- "cell migration"
"cancer" -- "animal models"
"cancer" -- "drug development"
"cancer" -- "breast cancer"
"cancer" -- "liver"
"cancer" -- "drug resistance"
"cancer" -- "metastasis"
"migration" -- "gender"
"migration" -- "multiculturalism"
"mechatronics" -- "precision engineering"
"education" -- "educational technology"
"education" -- "labour market"
"education" -- "social stratification"
"education" -- "gender"
"education" -- "adult education"
