"perceptual decision making" -- "attention"
"dissolved organic matter" -- "biogeochemistry"
"mathematics education" -- "didactics of mathematics"
"mathematics education" -- "mathematics curriculum"
"mathematics education" -- "educación matemática"
"mathematics education" -- "mathematics teacher education"
"mathematics education" -- "teacher preparation"
"mathematics education" -- "problem solving"
"mathematics education" -- "mathematical thinking"
"mathematics education" -- "teacher education"
"mathematics education" -- "algebraic thinking"
"mathematics education" -- "statistics education"
"mathematics education" -- "teacher professional development"
"behavioural genetics" -- "statistical genetics"
"algae biofuels" -- "anaerobic digestion"
"plankton" -- "zooplankton"
"cellulose nanomaterials" -- "advanced functional materials"
"cellulose nanomaterials" -- "cellulose nanocrystals"
"youth employment" -- "trade unions"
"climate mitigation" -- "energy"
"compiladores" -- "linguagens de programação"
"compiladores" -- "sistemas embebidos"
"compiladores" -- "arquitetura de computadores"
"sostenibilitat" -- "arquitectura"
"self-tuning" -- "self-adaptive systems"
"bioreactor design" -- "process control"
"romp" -- "radiochemistry"
"sign language recognition" -- "speech recogntion"
"pensamento social" -- "representações sociais"
"appellate advocacy" -- "legal writing"
"perovskite oxides" -- "scanning tunneling microscopy"
"magnetic resonance spectroscopy" -- "magnetic resonance imaging"
"socioeconomic status" -- "health disparities"
"migrant literature" -- "postcolonial theory"
"computational aerodynamics" -- "computational fluid dynamics"
"cuda" -- "gpu"
"calcium signaling" -- "ion channels"
"sociology of deviance" -- "criminology"
"coastal dunes" -- "luminescence dating"
"electromagnetic geophysics" -- "electrical"
"renal disease" -- "hypertension"
"spettroscopia" -- "chimica"
"tertiary education policy" -- "management"
"wireless ad-hoc networks" -- "wireless sensor networks"
"antenna theory" -- "small antenna"
"multiple classifier system" -- "pattern recognition"
"observational studies" -- "epidemiology"
"stretchable electronics" -- "electronic skin"
"stretchable electronics" -- "egain"
"stretchable electronics" -- "flexible electronics"
"stretchable electronics" -- "wearable electronics"
"literacy assessment" -- "work"
"diabetic foot" -- "metabolism"
"arthropoda" -- "palaeontology"
"localisation" -- "slam"
"librarians" -- "history of libraries"
"ultrasound" -- "elastography"
"ultrasound" -- "quantitative ultrasound"
"ultrasound" -- "photoacoustic imaging"
"ultrasound" -- "contrast imaging"
"ultrasound" -- "microbubbles"
"ultrasound" -- "sonography"
"ultrasound" -- "high resolution imaging"
"ultrasound" -- "medical imaging"
"ultrasound" -- "hifu"
"ultrasound" -- "photoacoustics"
"ultrasound" -- "sonothrombolysis"
"ultrasound" -- "probe design"
"ultrasound" -- "acoustic radiation force"
"ultrasound" -- "oral delivery"
"ultrasound" -- "wilderness medicine"
"explanation" -- "knowledge representation reasoning"
"explanation" -- "philosophy of science"
"toxicokinetics" -- "natural stressors"
"bioprinting" -- "biomaterials"
"respiratory diseases" -- "anti-viral drugs"
"neutrino oscillations" -- "particle physics"
"software architecture" -- "model driven architecture"
"software architecture" -- "architectural decisions"
"software architecture" -- "service orientation"
"software architecture" -- "non-functional properties"
"urban systems" -- "hydrology"
"hyperbolic geometry" -- "mapping class groups"
"global careers" -- "impression management"
"long non-coding rna" -- "nuclear organization"
"long non-coding rna" -- "x-chromosome inactivation"
"responsabilidad social corporativa" -- "gobierno corporativo"
"computational humor" -- "privacy"
"advanced water treatment" -- "membrane technology"
"civil environmental engineering" -- "hydrology"
"filosofia da cultura" -- "filosofia social"
"bases de données" -- "sig"
"oomycete biology" -- "plant pathology"
"visual processing" -- "cognitive science"
"derecho canónico" -- "derecho eclesiástico"
"derecho canónico" -- "derecho eclesiástico del estado"
"colonial history" -- "environmental history"
"colonial history" -- "imperialism"
"hci4d" -- "hci"
"environmental hydrology" -- "water"
"development geography" -- "reproductive health"
"structural glycobiology" -- "computational modeling"
"bio-inspired systems" -- "intelligent structures"
"amino acid metabolism" -- "clinical nutrition"
"romanticism" -- "coleridge"
"romanticism" -- "british literature"
"political ecology" -- "human-environment geography"
"political ecology" -- "pastoralism"
"political ecology" -- "political economy"
"political ecology" -- "forest policy"
"political ecology" -- "environmental anthropology"
"political ecology" -- "agrarian studies"
"political ecology" -- "neoliberal conservation"
"political ecology" -- "socio-ecological systems"
"regional policy" -- "economic geography"
"ic design" -- "rf microelectronics"
"ic design" -- "rf"
"ic design" -- "circuit simulation"
"forest conservation" -- "climate change"
"social tv" -- "user experience"
"advanced composite materials" -- "electronics"
"cytology" -- "pathology"
"species delimitation" -- "integrative taxonomy"
"species delimitation" -- "systematics"
"aquatic chemical ecology" -- "fluid mechanics"
"automation of science" -- "inductive logic programming"
"co2 emissions" -- "energy efficiency"
"tft" -- "c-si solar cells"
"optical fiber communications" -- "photonics"
"optical fiber communications" -- "radio over fiber"
"optical fiber communications" -- "optical performance monitoring"
"intraocular lens" -- "visual optics"
"health workforce" -- "illness experience"
"health workforce" -- "public health"
"communication" -- "darwin"
"communication" -- "regulatory affairs"
"communication" -- "birdsong"
"communication" -- "signal processing"
"communication" -- "signal evolution"
"communication" -- "routers"
"communication" -- "information"
"communication" -- "médias"
"communication" -- "enseignement supérieur"
"communication" -- "risk perception"
"remote sensing" -- "ecosystem resilience"
"remote sensing" -- "landscape dynamics"
"remote sensing" -- "terrestrial ecology"
"remote sensing" -- "glaciology"
"remote sensing" -- "groundwater management"
"remote sensing" -- "lulc"
"remote sensing" -- "ocean optics"
"remote sensing" -- "spatial hydrology"
"remote sensing" -- "albedo"
"remote sensing" -- "hyperspectral remote sensing"
"remote sensing" -- "surface water quality"
"remote sensing" -- "slums"
"remote sensing" -- "snow hydrology"
"remote sensing" -- "salt marsh ecology"
"remote sensing" -- "international environmental policy"
"remote sensing" -- "sar interferometry"
"remote sensing" -- "atmospheric composition"
"remote sensing" -- "spatio-temporal analysis"
"remote sensing" -- "nir spectroscopy"
"remote sensing" -- "giscience"
"remote sensing" -- "ocean colour"
"remote sensing" -- "vegetation monitoring"
"remote sensing" -- "outreach"
"remote sensing" -- "biometeorology"
"remote sensing" -- "forest structure"
"remote sensing" -- "satellite"
"remote sensing" -- "landsat"
"remote sensing" -- "urban growth modeling"
"remote sensing" -- "informal settlements"
"remote sensing" -- "ecological niche modeling"
"remote sensing" -- "data assimilation"
"remote sensing" -- "spatial science"
"remote sensing" -- "global ecology"
"remote sensing" -- "radiative transfer modeling"
"remote sensing" -- "satellite imagery"
"remote sensing" -- "hot springs"
"remote sensing" -- "underwater gliders"
"remote sensing" -- "earth observation"
"remote sensing" -- "hyperspectral imagery"
"remote sensing" -- "geobia"
"remote sensing" -- "multispectral"
"remote sensing" -- "land change"
"remote sensing" -- "surface radiation budget"
"remote sensing" -- "grace"
"remote sensing" -- "radiative transfer"
"remote sensing" -- "change detection"
"remote sensing" -- "soil moisture"
"remote sensing" -- "satellite altimetry"
"remote sensing" -- "vegetation phenology"
"remote sensing" -- "precision agriculture"
"remote sensing" -- "atmospheric radiative transfer"
"remote sensing" -- "planetary physics"
"remote sensing" -- "chlorophyll fluorescence"
"remote sensing" -- "forest health"
"remote sensing" -- "waveform lidar"
"remote sensing" -- "potentiometry"
"remote sensing" -- "reflectance spectroscopy"
"remote sensing" -- "geographic information systems"
"remote sensing" -- "damage assessment"
"remote sensing" -- "climate diagnostics"
"remote sensing" -- "object based image analysis"
"remote sensing" -- "ecosystem dynamics"
"remote sensing" -- "hydrologie"
"remote sensing" -- "space policy"
"remote sensing" -- "rice"
"remote sensing" -- "coastal resource management"
"remote sensing" -- "atmosphere interactions"
"remote sensing" -- "planetary geology"
"remote sensing" -- "terrain analysis"
"remote sensing" -- "fernerkundung"
"remote sensing" -- "land cover"
"remote sensing" -- "gis"
"remote sensing" -- "land system science"
"remote sensing" -- "land degradation"
"remote sensing" -- "habitat mapping"
"remote sensing" -- "information theoretic learning"
"remote sensing" -- "surface deformation"
"remote sensing" -- "human-environment interactions"
"remote sensing" -- "geographic information science"
"remote sensing" -- "insar"
"remote sensing" -- "photogrammetry"
"remote sensing" -- "forest disturbance"
"remote sensing" -- "solar radiation"
"remote sensing" -- "change analysis"
"remote sensing" -- "forest"
"remote sensing" -- "computational hydrology"
"remote sensing" -- "vegetation"
"remote sensing" -- "geoprocessing"
"remote sensing" -- "sustainable land management"
"remote sensing" -- "hydrology"
"remote sensing" -- "evapotranspiration"
"remote sensing" -- "lidar"
"bicycling" -- "transportation"
"water-energy-food nexus" -- "energy"
"historia de las mujeres" -- "historia antigua"
"palliative care" -- "advance care planning"
"palliative care" -- "hospice"
"palliative care" -- "end of life care"
"palliative care" -- "dying"
"palliative care" -- "psychosocial oncology"
"physical geography" -- "http:"
"physical geography" -- "geomorphology"
"predictions in ungauged basins" -- "hydrological modeling"
"microbial food safety" -- "microbial stress response"
"organic soils" -- "peatlands"
"réseaux sociaux" -- "educação a distância"
"pediatric rheumatology" -- "medical education"
"us" -- "digital humanities"
"new literacies" -- "mediated discourse analysis"
"new literacies" -- "english teaching"
"new literacies" -- "disciplinary literacy"
"new literacies" -- "digital literacy"
"new literacies" -- "adolescent literacy"
"new literacies" -- "canonicity"
"interactive communication" -- "interaction design"
"laser scanner" -- "photogrammetry"
"marine bioacoustics" -- "anthropogenic noise"
"firearms" -- "policing"
"sociologia del lavoro" -- "scienze sociali"
"seismostratigraphy" -- "stratigraphy"
"seismostratigraphy" -- "marine geoscience"
"gymnastics" -- "motor learning"
"gymnastics" -- "rules"
"html5" -- "javascript"
"forensic analysis" -- "quality control"
"rappresentazione" -- "paesaggio"
"sensing" -- "plasmonics"
"sensing" -- "lipid absorption"
"sensing" -- "iridium complexes"
"sensing" -- "early modern spanish literature"
"sensing" -- "carbon based nanomaterials"
"sensing" -- "avoidance"
"ele" -- "lingüística aplicada"
"substance use research" -- "message effects"
"magmatism" -- "tectonics"
"geodinámica" -- "geofísica"
"speciation genetics" -- "disease ecology"
"experimental pragmatics" -- "psycholinguistics"
"ubiquitous learning" -- "mobile learning"
"interaction" -- "customization"
"interaction" -- "responsive architecture"
"interaction" -- "augmented reality"
"radon" -- "physics education research"
"ihrm" -- "hrm"
"business performance" -- "performance measurement"
"drinking water treatment" -- "disinfection by-products"
"drinking water treatment" -- "formation"
"sandwich panels" -- "ship structures"
"sandwich panels" -- "cellular"
"hernia" -- "surgery"
"международные отношения" -- "история"
"gender politics" -- "women"
"lingvistica" -- "studii culturale"
"family business" -- "new venture strategy"
"family business" -- "entrepreneurship"
"work-life balance" -- "mentoring"
"hydraulic engineering" -- "fluvial hydraulics"
"hydraulic engineering" -- "environmental hydraulics"
"hydraulic engineering" -- "open channel flow"
"hydraulic engineering" -- "coastal engineering"
"sex differences" -- "stress"
"hepatology" -- "liver fibrosis"
"hepatology" -- "gastroenterology"
"hepatology" -- "pediatric gastroenterology"
"capillarity" -- "wetting phenomena"
"international tax law" -- "tax law"
"magic" -- "medieval history"
"breast cancer biology" -- "microscopy"
"mechanical analysis" -- "multiscale modeling"
"digital government" -- "open government"
"pk" -- "pd"
"corrosion" -- "coatings"
"corrosion" -- "high temperature oxidation"
"corrosion" -- "stress corrosion cracking"
"corrosion" -- "cathodic protection"
"corrosion" -- "stainless steel"
"corrosion" -- "electrochemical"
"corrosion" -- "service life prediction"
"corrosion" -- "protective coatings"
"corrosion" -- "metal matrix composites"
"corrosion" -- "pipeline integrity"
"corrosion" -- "hydrogen embrittlement"
"corrosion" -- "electrochemistry"
"communication networks" -- "mac layer design"
"communication networks" -- "information theory"
"communication networks" -- "communication security"
"communication networks" -- "underwater acoustic sensor networks"
"water law" -- "water markets"
"coalition politics" -- "political parties"
"starch" -- "pickering emulsion"
"rtos" -- "timing analysis"
"sustainable fashion" -- "sustainability"
"vitreoretinal surgery" -- "ophthalmology"
"ecosystem modeling" -- "hydrocarbons"
"ecosystem modeling" -- "fisheries assessment"
"ecosystem modeling" -- "global biogeochemical cycles"
"ecosystem modeling" -- "biogeochemistry"
"copper" -- "microbiology"
"arboviruses" -- "mosquitoes"
"prisoner reentry" -- "criminology"
"bats" -- "ecology"
"drug repositioning" -- "bioinformatics"
"business" -- "management"
"business" -- "global entrepreneurship"
"thin film processing" -- "electronics"
"purpose in life" -- "motivation"
"environmental eng" -- "energy"
"opinion" -- "social stratification"
"completion" -- "higher education access"
"completion" -- "drilling"
"microbiologia de alimentos" -- "tecnologia de alimentos"
"allostery" -- "computational biology"
"multicultural education" -- "teacher education"
"multicultural education" -- "qualitative research methods"
"silviculture" -- "forest nutrition"
"silviculture" -- "forest growth"
"polymer physical chemistry" -- "sodium"
"keyword search" -- "databases"
"tai chi" -- "balance control"
"place recognition" -- "mobile robotics"
"arabidopsis thaliana" -- "plant development"
"intellectual freedom" -- "librarianship"
"neighbourhood effects" -- "housing"
"building energy" -- "hvac"
"metabolic theory" -- "stoichiometry"
"metabolic theory" -- "ecophysiology"
"metabolic theory" -- "ecological theory"
"bioenergética" -- "bioquímica"
"innovación docente" -- "trabajo social"
"bioreactor landfills" -- "big data analysis"
"italian history" -- "cinema"
"biological membranes" -- "drug delivery"
"salud sexual" -- "educación para la salud"
"salud sexual" -- "promoción de la salud"
"salud sexual" -- "psicología de la salud"
"high performance interconnects" -- "big data"
"hydraulic machines" -- "fluid mechanics"
"spect" -- "pet"
"inclusive design" -- "ergonomics"
"inclusive design" -- "design for all"
"remote sensing image analysis" -- "fire ecology"
"nerve injury" -- "plastic reconstructive surgery"
"acting" -- "theatre"
"acting" -- "clinical behavior analysis"
"acting" -- "directing"
"sufism" -- "islam"
"impuestos" -- "derecho tributario"
"fiber reinforced cementitious composites" -- "structural engineering"
"music education" -- "community music"
"music education" -- "music performance"
"music education" -- "music reading"
"music education" -- "music teacher education"
"music education" -- "educación musical"
"noncommutative differential geometry" -- "poisson geometry"
"marine ecotoxicology" -- "molecular biology"
"chiral separation" -- "chromatography"
"stathmin" -- "microtubules"
"criminal intelligence" -- "policing"
"micromirror" -- "mems"
"social justice" -- "multicultural competence"
"social justice" -- "education"
"social justice" -- "humanitarian engineering"
"nanotecnologia" -- "dinâmica molecular"
"nanotecnologia" -- "biotecnologia"
"nanotecnologia" -- "tecnologia farmacêutica"
"nanotecnologia" -- "polímeros condutores"
"nanotecnologia" -- "simulação computacional"
"nanotecnologia" -- "fármacos"
"nanotecnologia" -- "processos de separação"
"nanotecnologia" -- "nanomateriais"
"nanotecnologia" -- "toxicologia ambiental"
"modern europe" -- "pedagogy"
"statistical analysis" -- "radiology education"
"statistical analysis" -- "pancreatology"
"engineering geology" -- "rock mechanics"
"cliodynamics" -- "social evolution"
"electron-phonon coupling" -- "topological insulators"
"exposure assessment" -- "bioaerosols"
"exposure assessment" -- "air pollution"
"exposure assessment" -- "indoor air quality"
"drosophila" -- "genetics"
"drosophila" -- "insect virus"
"treatment resistance" -- "oncology"
"tea" -- "fluoride"
"energy management" -- "renewable energy"
"rural livelihoods" -- "climate change"
"nmda" -- "glutamate"
"underwater vehicles" -- "control"
"marketing metrics" -- "branding"
"body composition" -- "nutrition"
"ovarian cancer" -- "endometrial cancer"
"ovarian cancer" -- "breast cancer"
"planetary exploration" -- "simultaneous localization"
"enlightenment" -- "intellectual history"
"growth regulation" -- "ecophysiology"
"thermoelectric materials" -- "materials science"
"evacuation planning" -- "performance measurement"
"south korea" -- "japan"
"ergonomia" -- "saúde do trabalhador"
"ergonomia" -- "engenharia agrícola"
"flexible work" -- "academic development"
"organic synthesis" -- "computational organic chemistry"
"organic synthesis" -- "transition metal catalysis"
"organic synthesis" -- "glycochemistry"
"organic synthesis" -- "heterocycles"
"organic synthesis" -- "medicinal chemistry"
"organic synthesis" -- "asymmetric catalysis"
"organic synthesis" -- "organometallic catalysis"
"organic synthesis" -- "structural determination"
"organic synthesis" -- "fluorescent sensors"
"chemistry education research" -- "chemistry education"
"chemistry education research" -- "discipline-based education research"
"scene perception" -- "visual memory"
"sustainable systems" -- "strategic planning"
"computational quantum physics" -- "computational quantum chemistry"
"chemia" -- "fizyka"
"poroelasticity" -- "geomechanics"
"formazione" -- "educazione"
"targeted drug" -- "brain tumors"
"participatory journalism" -- "journalism studies"
"rf ic design" -- "analog"
"apathy" -- "alzheimer s disease"
"conotoxins" -- "drug design"
"gestational diabetes" -- "nutrition"
"detectors" -- "thz spectroscopy"
"forest ecosystems" -- "climate change"
"power line communications" -- "smart grid"
"luminescent materials" -- "led phosphors"
"luminescent materials" -- "experimental solid state physics"
"luminescent materials" -- "materials science"
"geometric optimization" -- "representation learning"
"stochastic thermodynamics" -- "biophysics"
"assessment" -- "feedback"
"assessment" -- "l2"
"assessment" -- "research services"
"assessment" -- "personality theory"
"assessment" -- "wood mechanics"
"assessment" -- "engineering librarianship"
"assessment" -- "personality pathology"
"assessment" -- "generalizability theory"
"assessment" -- "intervention"
"assessment" -- "medical education"
"assessment" -- "computer-aided assessment"
"assessment" -- "medication therapy management"
"assessment" -- "evaluation"
"assessment" -- "assessment in higher education"
"assessment" -- "non-technical skills"
"assessment" -- "personality"
"assessment" -- "educational effectiveness"
"assessment" -- "medical education research"
"assessment" -- "educational research"
"assessment" -- "personality assessment"
"wood science" -- "wood plastic composites (wpc)"
"wood science" -- "wood composites"
"wood science" -- "cellulose nanofibers"
"operations research" -- "railway engineering"
"operations research" -- "capacity planning"
"operations research" -- "assembly line balancing"
"operations research" -- "supply chain planning"
"operations research" -- "angewandte mathematik"
"operations research" -- "discrete event simulation"
"operations research" -- "bpr"
"operations research" -- "scheduling"
"operations research" -- "railway optimization"
"operations research" -- "malaria elimination"
"operations research" -- "supply chain logistics"
"operations research" -- "rigidity theory"
"operations research" -- "riemannian manifolds"
"operations research" -- "maritime transportation"
"operations research" -- "professional services"
"operations research" -- "discrete optimization"
"operations research" -- "public transportation systems"
"operations research" -- "location analysis"
"operations research" -- "hse"
"operations research" -- "mathematical programming"
"operations research" -- "marketing interface"
"operations research" -- "mcdm"
"operations research" -- "supply chain modeling"
"operations research" -- "scientific programming"
"operations research" -- "heuristics"
"operations research" -- "air transportation"
"operations research" -- "industrial engineering"
"operations research" -- "combinatorial optimization"
"operations research" -- "decomposition"
"operations research" -- "stochastic programming"
"operations research" -- "scheduling theory"
"operations research" -- "multiple criteria decision making"
"operations research" -- "reservoir management"
"operations research" -- "project scheduling"
"operations research" -- "decision science"
"operations research" -- "health service delivery"
"operations research" -- "healthcare simulation"
"operations research" -- "management science"
"operations research" -- "discrete optimisation"
"operations research" -- "multi-criteria decision making"
"operations research" -- "dynamic programming"
"operations research" -- "simulation optimization"
"operations research" -- "opti"
"operations research" -- "decision diagrams"
"operations research" -- "stochastic optimization"
"operations research" -- "liner shipping"
"operations research" -- "reliability engineering"
"operations research" -- "portfolio optimization"
"operations research" -- "decision analysis"
"operations research" -- "vehicle routing"
"operations research" -- "network optimization"
"operations research" -- "multiple criteria decision analysis"
"operations research" -- "enterprise interoperability"
"operations research" -- "human behaviour modelling"
"operations research" -- "packing"
"operations research" -- "fuzzy set theory"
"operations research" -- "nonparametric analysis"
"operations research" -- "mixed integer programming"
"operations research" -- "air traffic management"
"operations research" -- "transportation science"
"operations research" -- "markov chains"
"operations research" -- "om"
"operations research" -- "treatment planning"
"operations research" -- "vehicle routing problem"
"operations research" -- "policy modeling"
"operations research" -- "robust optimization"
"operations research" -- "queueing"
"environmental gerontology" -- "environment"
"design for sustainability" -- "effectuation"
"just war theory" -- "political philosophy"
"contraception" -- "reproductive health"
"nonlinear dynamics" -- "chaos"
"nonlinear dynamics" -- "physics of biological systems"
"nonlinear dynamics" -- "vibration energy harvesting"
"nonlinear dynamics" -- "structural dynamics vibrations"
"nonlinear dynamics" -- "coupled oscillators"
"nonlinear dynamics" -- "synchronization"
"nonlinear dynamics" -- "physiological data analysis"
"nonlinear dynamics" -- "granular media"
"nonlinear dynamics" -- "complex systems"
"nonlinear dynamics" -- "vibration absorbers"
"nonlinear dynamics" -- "pattern formation"
"nonlinear dynamics" -- "graphene physics"
"nonlinear dynamics" -- "time delay"
"nonlinear dynamics" -- "nonlinear system identification"
"nonlinear dynamics" -- "nanooptomechanics"
"nonlinear dynamics" -- "modeling of complex systems"
"nonlinear dynamics" -- "parameter identification"
"rfid" -- "microwave antenna"
"rfid" -- "cmos sensors"
"rfid" -- "radio frequency"
"rfid" -- "antennas"
"rfid" -- "nfc"
"hebrew bible" -- "old testament"
"hebrew bible" -- "ancient near east"
"hebrew bible" -- "ancient judaism"
"political finance" -- "political parties"
"chemotaxonomy" -- "plant systematics"
"misuse" -- "substance use"
"dinámica no lineal" -- "sistemas complejos"
"legal" -- "moral philosophy"
"acute care surgery" -- "trauma"
"ceramic matrix composites" -- "cnc machining"
"kinetic monte carlo" -- "density functional theory"
"hypothermia" -- "resuscitation"
"aac" -- "augmentative"
"european court of justice" -- "european court of human rights"
"solid dosage forms" -- "drug delivery systems"
"génétique" -- "neuroscience"
"physiological signal processing" -- "modeling"
"20th" -- "21st century american literature"
"mapping class groups" -- "teichmuller theory"
"pharmacologie" -- "physiologie"
"rainfall-runoff modelling" -- "floods"
"bryophytes" -- "systematics"
"majorana fermion" -- "fractional quantum hall effect"
"biomechanical engineering" -- "gait analysis"
"biomechanical engineering" -- "medical device technology"
"action observation" -- "motor control"
"comparative neuroanatomy" -- "neuropathology"
"international human resource management" -- "expatriation"
"international human resource management" -- "expatriate management"
"retina development" -- "neurodegenerative diseases"
"autism spectrum disorder" -- "intellectual disability"
"русский язык как иностранный" -- "методика"
"logistyka" -- "transportation"
"logistyka" -- "bazy danych"
"borderline personality disorder" -- "psychotherapy research"
"borderline personality disorder" -- "emotion regulation"
"borderline personality disorder" -- "dialectical behavior therapy"
"poética" -- "teoría de la literatura"
"induction" -- "epistemology"
"war studies" -- "international relations"
"ghg mitigation" -- "carbon capture"
"urban policy" -- "urban planning"
"atención" -- "percepción"
"andrologia" -- "endocrinologia"
"andrologia" -- "urologia"
"higher education policy" -- "management"
"higher education policy" -- "sociology of higher education"
"higher education policy" -- "practice"
"mixed-signal ic design" -- "analog"
"mixed-signal ic design" -- "energy harvesting system"
"fashion design" -- "human-computer interaction"
"biodiversidad" -- "taxonomia"
"media industries" -- "media audiences"
"media industries" -- "new media"
"structural colour" -- "photonic crystals"
"community services" -- "psychosis"
"sulfur" -- "biogas upgrading"
"internal curing" -- "cement"
"charitable giving" -- "family issues"
"environmental journalism" -- "literary journalism"
"nonlinear optimization" -- "interior point methods"
"nonlinear optimization" -- "global optimization"
"nonlinear optimization" -- "derivative-free optimization"
"lengua española" -- "lingüística"
"lengua española" -- "spanish language"
"urban poverty" -- "social policy"
"ptsd" -- "tbi"
"ptsd" -- "hoarding"
"ptsd" -- "trauma"
"ptsd" -- "rape"
"ptsd" -- "traumatic stress"
"ptsd" -- "veterans"
"ptsd" -- "psychological resilience"
"self-assembled monolayers" -- "scanning tunneling microscopy"
"spacecraft design" -- "control"
"fruit flies" -- "entomology"
"environmental bioengineering" -- "biorefinery"
"macro-labor" -- "macroeconomics"
"participación" -- "tic"
"historical legacies" -- "political identity"
"pulmonology" -- "pediatrics"
"melatonin" -- "photoperiodism"
"melatonin" -- "circadian rhythms"
"kidney stones" -- "nephrolithiasis"
"unsaturated soil mechanics" -- "geotechnical engineering"
"racismo" -- "representações sociais"
"racismo" -- "futebol"
"morphogens" -- "embryogenesis"
"web data extraction" -- "databases"
"neuroimaging analysis" -- "high dimensional regression"
"ductile fracture" -- "gradient plasticity"
"image recognition" -- "computer vision"
"postcolonialism" -- "subaltern studies"
"postcolonialism" -- "cultural studies"
"ecofeminism" -- "ecocriticism"
"bacteria" -- "iron uptake"
"bacteria" -- "gold nanoclusters"
"bacteria" -- "microbiology"
"bacteria" -- "pseudomonas"
"economic thought" -- "international political economy"
"staphylococcus" -- "bacteriophage"
"antarctic meteorology" -- "ensemble prediction"
"antarctic meteorology" -- "atmospheric science"
"cte" -- "alzheimer s disease"
"wired" -- "fault detection"
"bioluminescent imaging" -- "invention"
"imaging genomics" -- "machine vision"
"environmental criminology" -- "spatial crime analysis"
"environmental criminology" -- "cpted"
"environmental criminology" -- "crime science"
"sensory neurobiology" -- "data science"
"ecosystem engineers" -- "ecology"
"gestão ambiental" -- "meio ambiente"
"nanoplasmonics" -- "nanophotonics"
"nanoplasmonics" -- "nanoplasmonic sensing"
"contemporary european philosophy" -- "digital humanities"
"pm2.5" -- "air pollution"
"industrial safety" -- "air pollution"
"diophantine approximation" -- "metric number theory"
"rram" -- "resistive switching"
"pathogen discovery" -- "viruses"
"experimental nuclear" -- "particle physics"
"retail geography" -- "retailing"
"metal transport" -- "algae biotechnology"
"non-covalent interactions" -- "nuclear magnetic resonance spectroscopy"
"political risk" -- "political economy of development"
"giscience" -- "geospatial semantics"
"network data analysis" -- "bayesian data analysis"
"land use change" -- "energy for development"
"land use change" -- "climate change"
"land use change" -- "conservation policy"
"treatment processes" -- "anxiety disorders"
"curriculum instruction" -- "teacher education"
"brain monitoring" -- "electrochemical biosensors"
"noise control" -- "acoustics"
"austempered ductile iron" -- "mechanical properties"
"ad hoc" -- "sensor networks"
"symmetry" -- "directional statistics"
"symmetry" -- "conservation laws"
"intel·ligència artificial" -- "energia"
"didáctica de las matemáticas" -- "educación matemática"
"knowledge representation" -- "cognitive semantics"
"knowledge representation" -- "description logics"
"knowledge representation" -- "computational logic"
"knowledge representation" -- "model-based diagnosis"
"knowledge representation" -- "belief revision"
"knowledge representation" -- "query answering"
"strabismus" -- "amblyopia"
"thermal emission" -- "plasmonics"
"comparative philosophy" -- "ethics"
"co-simulation" -- "computer science"
"lipotoxicity" -- "insulin resistance"
"wavefront engineering" -- "photoacoustic imaging"
"neuron-glia interactions" -- "neurodegenerative diseases"
"separation membranes" -- "porous materials"
"musculoskeletal simulation" -- "movement disorders"
"mineral economics" -- "economic geology"
"biodiversity" -- "ecosystem functioning"
"biodiversity" -- "biomineralogy"
"biodiversity" -- "dna barcoding"
"biodiversity" -- "trees"
"biodiversity" -- "climate change ecology"
"biodiversity" -- "deep-sea ecology"
"biodiversity" -- "ocean health"
"biodiversity" -- "arctic ecology"
"biodiversity" -- "mollusca"
"biodiversity" -- "plant-plant interactions"
"biodiversity" -- "sustainable forest management"
"biodiversity" -- "spatial heterogeneity"
"biodiversity" -- "neuroecology"
"biodiversity" -- "ecosystem processes"
"biodiversity" -- "freshwater fish ecology"
"biodiversity" -- "freshwater fish"
"biodiversity" -- "food production"
"biodiversity" -- "ecology"
"biodiversity" -- "subtidal"
"biodiversity" -- "landscape design"
"rna metabolism" -- "genome stability"
"medical ultrasound" -- "medical imaging"
"relações públicas" -- "comunicação organizacional"
"rna nanotechnology" -- "rna bioinformatics"
"shape optimization" -- "partial differential equations"
"shape optimization" -- "isogeometric analysis (iga)"
"digital storytelling" -- "interaction design"
"consumer socialization" -- "branding"
"experimental physics" -- "materials science"
"projetos" -- "educação física"
"evolutionary economic geography" -- "economic geography"
"evolutionary economic geography" -- "regional growth"
"software analysis" -- "software testing"
"software analysis" -- "software refactoring"
"sociology of culture" -- "economic sociology"
"public safety" -- "spatial informatics"
"chaos" -- "bifurcation"
"chaos" -- "memristive systems"
"water oxidation" -- "artificial photosynthesis"
"plant ecology" -- "biology education research"
"plant ecology" -- "ecological design"
"plant ecology" -- "plant interactions"
"plant ecology" -- "community assembly"
"plant ecology" -- "dryland ecology"
"plant ecology" -- "tropical dry forests"
"plant ecology" -- "roots"
"radiation physics" -- "radiation biology"
"online algorithms" -- "approximation algorithms"
"epatologia" -- "medicina nucleare"
"transition metal oxides" -- "electron spectroscopy"
"energy optimization" -- "wireless sensor networks"
"soccer" -- "football"
"performance-based earthquake engineering" -- "structural dynamics"
"homotopy type theory" -- "functional programming"
"brain networks" -- "resting-state fmri"
"sensor fabrication" -- "analytical chemistry"
"geotechnical engineering" -- "granular physics"
"geotechnical engineering" -- "bayesian theory"
"geotechnical engineering" -- "soil stabilization"
"geotechnical engineering" -- "rock mechanics"
"geotechnical engineering" -- "stone columns"
