"perceptual decision making" -- "attention"
"biodiversity" -- "mollusca"
"biodiversity" -- "arctic ecology"
"biodiversity" -- "sustainable forest management"
"biodiversity" -- "neuroecology"
"biodiversity" -- "dna barcoding"
"rna metabolism" -- "genome stability"
"hyperspectral imagery" -- "remote sensing"
"shape optimization" -- "partial differential equations"
"experimental physics" -- "materials science"
"evolutionary economic geography" -- "economic geography"
"evolutionary economic geography" -- "regional growth"
"software analysis" -- "software testing"
"sociology of culture" -- "economic sociology"
"public safety" -- "spatial informatics"
"chaos" -- "bifurcation"
"chaos" -- "memristive systems"
"rule of law" -- "legal theory"
"plant ecology" -- "biology education research"
"plant ecology" -- "dryland ecology"
"plant ecology" -- "ecological design"
"plant ecology" -- "plant interactions"
"plant ecology" -- "community assembly"
"plant ecology" -- "plant phenology"
"plant ecology" -- "tropical dry forests"
"radiation physics" -- "radiation biology"
"epatologia" -- "medicina nucleare"
"microwave components" -- "metamaterials"
"energy optimization" -- "wireless sensor networks"
"soccer" -- "football"
"performance-based earthquake engineering" -- "structural dynamics"
"homotopy type theory" -- "functional programming"
"geotechnical engineering" -- "metaheuristic optimization"
"geotechnical engineering" -- "computational geomechanics"
"geotechnical engineering" -- "granular physics"
"geotechnical engineering" -- "soil stabilization"
"geotechnical engineering" -- "soil reinforcement"
"geotechnical engineering" -- "rock mechanics"
"geotechnical engineering" -- "civil engineering"
"geotechnical engineering" -- "pipeline engineering"
"geotechnical engineering" -- "offshore engineering"
"geotechnical engineering" -- "earth dams"
"geotechnical engineering" -- "centrifuge modelling"
"geotechnical engineering" -- "site characterization"
"geotechnical engineering" -- "offshore geotechnics"
"geotechnical engineering" -- "random fields"
"geotechnical engineering" -- "geosynthetics"
"geotechnical engineering" -- "geological engineering"
"geotechnical engineering" -- "unsaturated soils"
"geotechnical engineering" -- "slope stability"
"geotechnical engineering" -- "soil improvement"
"geotechnical engineering" -- "soil compaction"
"geotechnical engineering" -- "geomechanics"
"geotechnical engineering" -- "pavement design"
"geotechnical engineering" -- "foundations"
"geotechnical engineering" -- "pile foundations"
"small groups" -- "social psychology"
"sharks" -- "ecology"
"nanoscale science" -- "chemical synthesis"
"cars microscopy" -- "raman optical activity"
"cars microscopy" -- "molecular pathology"
"laser material processing" -- "advanced manufacturing processes"
"laser material processing" -- "laser cutting"
"laser material processing" -- "additive manufacturing"
"laser material processing" -- "aluminium"
"laser material processing" -- "finite element simulation"
"atmospheric radiation" -- "climate variability"
"crops" -- "soil science"
"gifted" -- "underachievement"
"computational condensed matter" -- "computational materials science"
"simulação computacional" -- "nanotecnologia"
"labour law" -- "employment law"
"heat transfer enhancement" -- "micro"
"larvae" -- "antarctica"
"arctic" -- "polar microbiology"
"arctic" -- "climate change"
"arctic" -- "antarctic"
"arctic" -- "sea ice"
"electrolyzers" -- "fuel cells"
"engagement" -- "motivation"
"environmental economics" -- "energy economics"
"environmental economics" -- "product quality"
"environmental economics" -- "agricultural economics"
"environmental economics" -- "market integration"
"environmental economics" -- "environmental valuation"
"environmental economics" -- "ecological economics"
"environmental economics" -- "peer effects"
"environmental economics" -- "pro-environmental behavior"
"environmental economics" -- "water economics"
"environmental economics" -- "international environmental agreements"
"environmental economics" -- "climate change economics"
"li-air batteries" -- "fuel cells"
"experiential education" -- "sport pedagogy"
"educational equity" -- "science education"
"extragalactic astrophysics" -- "cosmology"
"smart energy" -- "smart grid"
"vasopressin" -- "oxytocin"
"alternative energy" -- "materials science"
"shear" -- "bond"
"shear" -- "reinforced concrete"
"knihovnictví" -- "pedagogika"
"oocyte" -- "reproductive biology"
"oocyte" -- "embryo"
"sedimentology" -- "stratigraphy"
"sedimentology" -- "basin analysis"
"sedimentology" -- "limnogeology"
"sedimentology" -- "petroleum geology"
"sedimentology" -- "gpr"
"sedimentology" -- "marine geology"
"sedimentology" -- "geology"
"sedimentology" -- "sequence stratigraphy"
"sedimentology" -- "coastal geology"
"sedimentology" -- "sedimentary geochemistry"
"sedimentology" -- "heavy minerals"
"south asians" -- "lifestyle"
"digital marketing" -- "branding"
"digital marketing" -- "consumer financial decision making"
"men s health" -- "health disparities"
"electronic nose" -- "pattern recognition"
"multicore systems" -- "computer architecture"
"mercury" -- "biogeochemistry"
"nir spectroscopy" -- "remote sensing"
"design space exploration" -- "computer architecture"
"control automatico" -- "enologia"
"control automatico" -- "control theory"
"universal design" -- "accessibility"
"fotografia" -- "cinema"
"sociocultural linguistics" -- "gender sexuality"
"mobile social networks" -- "privacy"
"hydrogen exchange" -- "mass spectrometry"
"hydrogen exchange" -- "protein conformation"
"combinatorial algorithms" -- "computational biology"
"hiv vaccine" -- "immunology"
"ethnic identity" -- "racial"
"ethnic identity" -- "identity development"
"efflux pumps" -- "drug resistance"
"ocean color remote sensing" -- "ocean optics"
"privacy enhancing technologies" -- "applied cryptography"
"phytohormones" -- "plant development"
"transport processes" -- "remediation"
"physics of cancer" -- "cell mechanics"
"biodiversità" -- "miglioramento genetico"
"therapeutics" -- "cancer biology"
"evolution of development" -- "developmental biology"
"biomimicry" -- "supramolecular chemistry"
"geometric algebra" -- "computer vision"
"derecho de sociedades" -- "derecho mercantil"
"lca" -- "energy"
"ostracism" -- "social exclusion"
"introduced species" -- "marine biology"
"interventional neuroradiology" -- "cerebrovascular disease"
"experimental psychopathology" -- "clinical psychology"
"ige" -- "allergy"
"vaccine development" -- "immunology"
"wind farm control" -- "wind energy"
"primate evolution" -- "human evolution"
"quality" -- "patient safety"
"quality" -- "disparities"
"quality" -- "safety"
"quality" -- "meat production"
"slam" -- "robotique"
"slam" -- "visual odometry"
"many-body systems" -- "quantum"
"transdermal" -- "drug delivery"
"implicit" -- "second language acquisition"
"quantum plasmonics" -- "quantum optics"
"iterative learning control" -- "model predictive control"
"hydrology" -- "ecohydrology"
"hydrology" -- "flood forecasting"
"hydrology" -- "hydrogeology"
"hydrology" -- "climate"
"hydrology" -- "surface water hydrology"
"hydrology" -- "water engineering"
"hydrology" -- "hydrological modeling"
"hydrology" -- "hydrometeorology"
"hydrology" -- "fluvial geomorphology"
"hydrology" -- "reclamation"
"hydrology" -- "water use"
"hydrology" -- "peatlands"
"hydrology" -- "hydraulic modeling"
"hydrology" -- "uncertainty analysis"
"hydrology" -- "climate change impacts"
"hydrology" -- "watershed management"
"hydrology" -- "flood modelling"
"hydrology" -- "agricultural water management"
"hydrology" -- "erosion"
"hydrology" -- "floods"
"hydrology" -- "hydroclimatology"
"hydrology" -- "water resources engineering"
"hydrology" -- "contaminant transport"
"hydrology" -- "geomorphology"
"hydrology" -- "climate change"
"hydrology" -- "catchment hydrology"
"hydrology" -- "remote sensing"
"hydrology" -- "watersheds"
"hydrology" -- "urban hydrology"
"hydrology" -- "water resources management"
"hydrology" -- "water quality modeling"
"hydrology" -- "hydroclimate"
"hydrology" -- "watershed modeling"
"hydrology" -- "tracers"
"hydrology" -- "water resources"
"hydrology" -- "vadose zone"
"hydrology" -- "rainfall"
"hydrology" -- "solute transport"
"bioplastics" -- "biocomposites"
"pharma" -- "bio"
"evolution of human behavior" -- "mate selection"
"lipid chemistry" -- "functional foods"
"resource curse" -- "democratization"
"cancer metabolism" -- "systems biology"
"foraging behavior" -- "primate ecology"
"ill-posed problems" -- "inversion"
"goal setting" -- "rehabilitation"
"symptom management" -- "pain"
"chirurgia generale" -- "scienze mediche"
"chirurgia generale" -- "chirurgia endocrina"
"augmentative communication" -- "alternative"
"augmentative communication" -- "human-computer interaction"
"terahertz technology" -- "photonics"
"port cities" -- "spain"
"interfacial dynamics" -- "colloidal physics"
"viral metagenomics" -- "virology"
"peptidomimetics" -- "medicinal chemistry"
"drug metabolism" -- "pharmacokinetics"
"drug metabolism" -- "cytochrome p450"
"cognitive networks" -- "wireless networks"
"lithics" -- "archaeology"
"lithics" -- "andean archaeology"
"retinal prosthesis" -- "bioinstrumentation"
"historia cultural" -- "franquismo"
"historia cultural" -- "historia del libro"
"chimie" -- "rmn"
"chimie" -- "sciences de la terre"
"fish" -- "ecology"
"political philosophy" -- "ethics"
"political philosophy" -- "legal philosophy"
"political philosophy" -- "social philosophy"
"political philosophy" -- "history of ideas"
"political philosophy" -- "nietzsche"
"political philosophy" -- "distributive justice"
"political philosophy" -- "social"
"political philosophy" -- "moral philosophy"
"political philosophy" -- "philosophy of law"
"political philosophy" -- "normative ethics"
"electron optics" -- "quantum physics"
"developmental disabilities" -- "managed care"
"developmental disabilities" -- "intellectual"
"sorption" -- "natural organic matter"
"early life" -- "stable isotopes"
"plant molecular genetics" -- "genomics"
"youth participation" -- "sociology of education"
"cervical cancer" -- "hpv"
"forensic toxicology" -- "analytical chemistry"
"performance measurement" -- "multicriteria analysis"
"performance measurement" -- "performance management"
"performance measurement" -- "management accounting"
"performance measurement" -- "construction industry"
"performance measurement" -- "performance appraisal"
"performance measurement" -- "balanced scorecard"
"performance measurement" -- "new public management"
"archaeometallurgy" -- "archaeology"
"chimica" -- "chimica fisica"
"chimica" -- "biologia"
"chimica" -- "catalisi"
"cosmologia" -- "gravitação"
"small rna" -- "self-incompatibility"
"small rna" -- "genomics"
"hpb surgery" -- "liver transplantation"
"pharmaceutical analysis" -- "quality control"
"relay network" -- "resource allocation"
"fitness landscapes" -- "epistasis"
"eco-innovation" -- "climate change"
"vocabulary learning" -- "english language teaching"
"abm" -- "upper paleolithic"
"abm" -- "natural hazards"
"chemoenzymatic synthesis" -- "engineering"
"ethical decision making" -- "business ethics"
"protein modeling" -- "drug discovery"
"dinâmica molecular" -- "nanotecnologia"
"in vitro" -- "feed evaluation"
"food allergy" -- "asthma"
"satellite altimetry" -- "remote sensing"
"flood management" -- "water resources management"
"nonequilibrium" -- "statistical mechanics"
"neural prosthetics" -- "neural engineering"
"constructive mathematics" -- "mathematical logic"
"history of political thought" -- "spinoza"
"environmental soil science" -- "land management"
"fermentation technology" -- "microbiology"
"fermentation technology" -- "rubber technology"
"economic impact analysis" -- "regional economics"
"latin america" -- "argentina"
"latin america" -- "caribbean"
"latin america" -- "brazil"
"latin america" -- "mexico"
"latin america" -- "comparative politics"
"multiple target tracking" -- "computer vision"
"geographic information science" -- "qualitative spatial reasoning"
"geographic information science" -- "time geography"
"geographic information science" -- "spatial computing"
"geographic information science" -- "remote sensing"
"mitochondria" -- "reactive oxygen species"
"mitochondria" -- "metabolism"
"mitochondria" -- "calcium"
"mitochondria" -- "mitochondrial disease"
"mitochondria" -- "paediatric neurology"
"mitochondria" -- "mitochondrial genetics"
"mitochondria" -- "bioenergetics"
"mitochondria" -- "mtdna"
"mitochondria" -- "mitochondrial dna"
"mitochondria" -- "oxygen sensing"
"mitochondria" -- "sirtuins"
"visual saliency" -- "computer vision"
"museum education" -- "social media in education"
"museum education" -- "fashion theory"
"cell cycle regulation" -- "transcriptional regulation"
"rf" -- "analog integrated circuit design"
"rf" -- "analog"
"rf" -- "ic"
"rf" -- "analog circuits"
"rf" -- "microwave"
"rf" -- "microwave design"
"rf" -- "mm-wave"
"geospatial data" -- "gis"
"camouflage" -- "sensory ecology"
"surface modification" -- "polymer thin films"
"gerontechnology" -- "assistive technology"
"memory management" -- "operating systems"
"functional safety" -- "fault tolerance"
"mining software repositories" -- "social software engineering"
"auto" -- "biography"
"fdtd" -- "plasmonics"
"historia económica" -- "historia de la empresa"
"historia económica" -- "organización industrial"
"reprodução animal" -- "biologia"
"herbivory" -- "ecology"
"finite group theory" -- "loop theory"
"systems immunology" -- "bioinformatics"
"wildlife conservation" -- "ecology"
"radial basis functions" -- "approximation theory"
"giardia" -- "evolutionary cell biology"
"giardia" -- "parasitology"
"social cognition" -- "moral cognition"
"social cognition" -- "self-concept"
"social cognition" -- "counterfactual thinking"
"social cognition" -- "ownership"
"social cognition" -- "developmental psychology"
"social cognition" -- "social perception"
"social cognition" -- "cognitive remediation"
"social cognition" -- "team performance"
"social cognition" -- "person perception"
"social cognition" -- "joint action"
"social cognition" -- "social psychology"
"virotherapy" -- "tumour immunology"
"na-ion batteries" -- "li-ion batteries"
"probability theory" -- "theoretical statistics"
"probability theory" -- "stochastic processes"
"peptoids" -- "ionic liquids"
"network medicine" -- "bioinformatics"
"biopharmaceutics" -- "pharmacokinetics"
"point clouds" -- "laser scanning"
"travel literature" -- "world literature"
"boundary elements" -- "finite elements"
"pulmonology" -- "pediatrics"
"multinationals" -- "international trade"
"south-south cooperation" -- "networks"
"personalidad" -- "adolescencia"
"personalidad" -- "avaliação psicológica"
"personalidad" -- "neurociencia"
"biologia computacional" -- "teoria da computação"
"social work" -- "social services"
"social work" -- "mental health"
"social work" -- "social work education"
"retinal disease" -- "ophthalmology"
"synthetic chemistry" -- "medicinal chemistry"
"probabilidad" -- "estadística"
"diagnostic testing" -- "emergency medicine"
"diagnostic testing" -- "urolithiasis"
"youth crime" -- "criminology"
"topological quantum computation" -- "topological insulators"
"chirurgia endocrina" -- "chirurgia oncologica"
"automatic control" -- "vehicle dynamics control"
"ottoman history" -- "diplomatic history"
"biomimetic chemistry" -- "organic chemistry"
"metabolic profiling" -- "metabolomics"
"biological sciences" -- "agriculture"
"media sociology" -- "journalism"
"micelles" -- "nanoparticles"
"fuzzy modeling" -- "multi-objective optimization"
"credit" -- "social stratification"
"nonwovens" -- "textiles"
"data analytics" -- "network analytics"
"nonmarket strategy" -- "international business strategy"
"transmission line" -- "electromagnetic compatibility"
"segmentation" -- "registration"
"concrete structures" -- "seismic analysis"
"concrete structures" -- "structural engineering"
"mathematical morphology" -- "lattice theory"
"mathematical morphology" -- "discrete tomography"
"digital soil mapping" -- "pedometrics"
"digital soil mapping" -- "soil spectroscopy"
"digital soil mapping" -- "soil science"
"paleogeography" -- "paleomagnetism"
"weed biology" -- "weed science"
"anaerobic biotechnology" -- "wastewater treatment"
"information foraging" -- "journalism"
"anomalies" -- "empirical asset pricing"
"aeolian processes" -- "geomorphology"
"neural decoding" -- "vision"
"knowledge economy" -- "bioeconomy"
"plant" -- "phloem"
"plant" -- "ecology"
"organic functional materials" -- "organometallic chemistry"
"repression" -- "human rights"
"biologia marinha" -- "ecologia"
"soil science" -- "biochar"
"soil science" -- "pedology"
"soil science" -- "agronomy"
"soil science" -- "soil chemistry"
"soil science" -- "soil biogeochemistry"
"antarctica" -- "glaciology"
"antarctica" -- "soil fauna"
"antarctica" -- "ice shelves"
"antarctica" -- "gondwana"
"antarctica" -- "patagonia"
"antarctica" -- "metal speciation"
"antarctica" -- "greenland"
"speech communication" -- "signal processing"
"energy landscapes" -- "socio-technical transitions"
"byzantine studies" -- "late antiquity"
"model updating" -- "structural health monitoring"
"roman" -- "archaeology"
"21st century american literature" -- "literary theory"
"collaborative virtual environments" -- "human-computer interaction"
"alliances" -- "joint ventures"
"public address" -- "rhetoric"
"atomic" -- "optical physics"
"atomic" -- "ultracold molecules"
"atomic" -- "ultrafast electron diffraction"
"atomic" -- "optical science"
"atomic" -- "cvd diamond"
"atomic" -- "attosecond physics"
"non-" -- "complex systems"
"computer security" -- "online privacy"
"computer security" -- "information flow security"
"computer security" -- "cryptography"
"computer security" -- "cryptographic protocols"
"computer security" -- "binary analysis"
"early america" -- "dutch"
"propagation" -- "antennas"
"digital sociology" -- "sociology"
"drosophila melanogaster" -- "chromatin"
"adsorption" -- "activated carbon"
"discursive psychology" -- "social psychology"
"borderlands" -- "surveillance"
"crime" -- "fear of crime"
"crime" -- "neighborhood effects"
"crime" -- "critical criminology"
"crime" -- "neighborhood change"
"crime" -- "community"
"crime" -- "delinquency"
"crime" -- "intimate partner abuse"
"crime" -- "drug policy"
"crime" -- "criminology"
"cytoskeleton" -- "motor proteins"
"digital art" -- "digital media"
"museum informatics" -- "web science"
"computational methods" -- "numerical methods"
"disability studies" -- "gender studies"
"histopathology" -- "cancer pathology"
"histopathology" -- "peripheral nerve regeneration"
"laser technology" -- "photonics"
"grammar" -- "linguistics"
"existentialism" -- "sartre"
"hardware acceleration" -- "vlsi systems"
"computational spectroscopy" -- "flavins"
"indigenous knowledge" -- "decolonization"
"indigenous knowledge" -- "education"
"risk governance" -- "international relations"
"drosophila genetics" -- "population genetics"
"labour market" -- "education"
"home" -- "housing"
"natural computing" -- "evolutionary computation"
"service orientation" -- "software architecture"
"psychopathology" -- "maltreatment"
"psychopathology" -- "personality"
"psychopathology" -- "behavioral genetics"
"dna-protein interactions" -- "biophysics"
"quimiometria" -- "química analítica"
"distributed information systems" -- "big data"
"spme" -- "materials science"
"geologia estrutural" -- "geologia econômica"
"cryptococcus" -- "macrophages"
"byzantine history" -- "medieval history"
"materials engineering" -- "metallurgical"
"materials engineering" -- "nanotechnology"
"opioids" -- "pain"
"wildlife trade" -- "sustainable use"
"soft materials" -- "solid mechanics"
"solid state lighting" -- "nanotechnology"
"quantum thermodynamics" -- "quantum information"
"40ar" -- "39ar geochronology"
"molecular pharmacology" -- "cancer biology"
"optical instrumentation" -- "nanostructures"
"laser processing" -- "nanotechnology"
"translational bioinformatics" -- "precision medicine"
"mexico" -- "cuba"
"sla" -- "applied linguistics"
"sla" -- "language education policy"
"comparative education" -- "education policy"
"comparative education" -- "international"
"sport" -- "football"
"sport" -- "sports mega-events"
"sport" -- "movie"
"sport" -- "health"
"sport" -- "social sustainability"
"sport" -- "exercise medicine"
"telecommunication networks" -- "wireless networks"
"enzimas" -- "biotecnologia de alimentos"
"cell-cell" -- "tumor cell biology"
"surgical critical care" -- "trauma surgery"
"terpenoids" -- "cytochrome p450"
"neuroscienze cognitive" -- "neuropsicologia"
"intelligence artificielle" -- "mathématiques appliquées"
"frp strengthening" -- "civil engineering"
"sexual orientation" -- "gender"
"sexual orientation" -- "lgbt youth"
"community genetics" -- "ecology"
"honey bee" -- "pollination"
"perinatal health" -- "nutrition"
"supercontinuum" -- "optics"
"fluid-structure interaction" -- "vortex-induced vibration"
"fluid-structure interaction" -- "biolocomotion"
"fluid-structure interaction" -- "computational fluid dynamics"
"nano device" -- "mems sensor"
"intergroup relations" -- "prejudice reduction"
"intergroup relations" -- "intergroup contact"
"intergroup relations" -- "social representations"
"intergroup relations" -- "mindfulness meditation"
"intergroup relations" -- "social psychology"
"photojournalism" -- "journalism"
"sustainable energy conversion" -- "electrochemistry"
"ecosystem ecology" -- "plant physiological ecology"
"ecosystem ecology" -- "biogeochemistry"
"applied philosophy" -- "ethics"
"moleküler genetik" -- "biyoteknoloji"
"moleküler genetik" -- "adli bilimler"
"dinosaurs" -- "paleontology"
"lymphocyte development" -- "human immunology"
"process management" -- "information systems"
"grain growth" -- "stochastic geometry"
"terahertz photonics" -- "nonlinear optics"
"space life sciences" -- "microgravity"
"space life sciences" -- "gravitational biology"
"agenda setting" -- "public policy"
"hybrid photovoltaics" -- "photovoltaics"
"insect molecular biology" -- "physiology"
"ecología urbana" -- "cambio climático"
"symbolic computation" -- "computer algebra"
"myanmar" -- "thailand"
"microwave" -- "stability analysis"
"microwave" -- "wood drying"
"microwave" -- "millimeter-wave circuits"
"microwave" -- "antennas"
"spatial behaviour" -- "animal flight"
"hydrogen production" -- "fuel cells"
"enhancement" -- "transcriptional regulation"
"chemical education" -- "organic chemistry"
"restauração ecológica" -- "ecologia"
"restauração ecológica" -- "biologia vegetal"
"dna computing" -- "synthetic biology"
"plasma propulsion" -- "dense plasmas"
"mechanics of composites" -- "fracture"
"disaster mitigation" -- "climate change"
"networked learning" -- "educational technology"
"microdialysis" -- "microfluidics"
"plant biochemistry" -- "plant biology"
"jane austen" -- "eighteenth-century british literature"
"video game design" -- "human-computer interaction"
"knowledge organization" -- "information science"
"inorganic synthesis" -- "electrochemistry"
"feminist geopolitics" -- "political geography"
"sensing technology" -- "wireless sensor networks"
"science of team science" -- "environmental psychology"
"strategic hrm" -- "international hrm"
"rural health" -- "community participation"
"rural health" -- "public health"
"public health informatics" -- "biomedical informatics"
"kaemart" -- "triz"
"kaemart" -- "virtual prototyping"
"kaemart" -- "augmented reality"
"bioactivity" -- "antioxidants"
"rs" -- "gis"
"measurement techniques" -- "heat transfer"
"reactive distillation" -- "process simulation"
"infant cognition" -- "developmental psychology"
"social semantic web" -- "semantic web"
"visual analytics" -- "critical systems"
"visual analytics" -- "information visualization"
"visual analytics" -- "infovis"
"dairy cattle nutrition" -- "ruminant nutrition"
"zinc fingers" -- "protein engineering"
"prognostics" -- "health management"
"prognostics" -- "condition based maintenance"
"prognostics" -- "diagnostics"
"carbon capture" -- "storage (ccs)"
"carbon capture" -- "storage"
"carbon capture" -- "oxy-combustion"
"carbon capture" -- "sequestration"
"carbon capture" -- "utilisation"
"comportamiento" -- "aprendizaje"
"distance education" -- "online learning"
"mcmc" -- "bayesian statistics"
"ahp" -- "gis"
"flight dynamics" -- "control"
"couple relationships" -- "coparenting"
"intergenerational transfers" -- "economic demography"
"lidar" -- "remote sensing"
"communication law" -- "policy"
"material properties" -- "medical devices"
"international social work" -- "human rights"
"spillover" -- "international trade"
"stereotype threat" -- "social psychology"
"debugging" -- "program slicing"
"debugging" -- "tracing"
"agricultural landscapes" -- "ecosystem services"
"soundscape ecology" -- "climate change"
"ieee 802.11" -- "full duplex"
"focused ion beam" -- "electron microscopy"
"capital market research" -- "tax avoidance"
"spin-orbit coupling" -- "density functional theory"
"cerenkov luminescence imaging" -- "preclinical imaging"
"cerenkov luminescence imaging" -- "laser induced breakdown spectroscopy"
"evolutionary optimization algorithms" -- "computational electromagnetics"
"waterfowl ecology" -- "management"
"social practices" -- "sustainable consumption"
"quantitative research methods" -- "interpersonal communication"
"aml" -- "mds"
"urban geochemistry" -- "environmental geochemistry"
"african archaeology" -- "social archaeology"
"african archaeology" -- "ethnoarchaeology"
"social geography" -- "cultural geography"
"rab gtpases" -- "membrane trafficking"
"etnologia" -- "antropologia"
"reaching" -- "grasping"
"food sovereignty" -- "land grabbing"
"multispectral" -- "remote sensing"
"web archiving" -- "web science"
"analyse numérique" -- "chimie-physique"
"australia" -- "new zealand"
"fbg" -- "photonics"
"fbg" -- "optical fibre sensors"
"multiferroic materials" -- "materials science"
"land change" -- "remote sensing"
"educational inequality" -- "social stratification"
"superconducting quantum devices" -- "tls"
"co2 sequestration" -- "multiphase flow in porous media"
"co2 sequestration" -- "flow in porous media"
"optical microscopy" -- "electron microscopy"
"caribbean literature" -- "latin american literature"
"stem cell differentiation" -- "tissue engineering"
"type theory" -- "metaprogramming"
"type theory" -- "lambda calculus"
"type theory" -- "programming languages"
"geobia" -- "remote sensing"
"meat production" -- "animal husbandry"
"building science" -- "energy"
"building science" -- "architectural engineering"
"memory consolidation" -- "sleep"
"patronage" -- "international political economy"
"titanium dioxide" -- "photocatalysis"
"mental illness" -- "mental health"
"cancer invasion" -- "cell mechanics"
"ekologia" -- "ochrona przyrody"
"public archaeology" -- "archaeology"
"vulvodynia" -- "pain"
"nitric oxide" -- "oxidative stress"
"nitric oxide" -- "nitrite"
"signal processing for communications" -- "wireless communications"
"superfluidity" -- "topological defects"
"superfluidity" -- "bose-einstein condensation"
"urban traffic control" -- "model predictive control"
"african politics" -- "comparative politics"
"patrimonio histórico" -- "historia de la arquitectura"
"ocean colour" -- "remote sensing"
"financial distress" -- "consumer finance"
"child development" -- "mind-body medicine"
"child development" -- "home visiting"
"child development" -- "parenting"
"child development" -- "early childhood education"
"child development" -- "women s mental health"
"child development" -- "developmental neuropsychology"
"child development" -- "parent-child interaction"
"child development" -- "education"
"child development" -- "school readiness"
"child development" -- "child care"
"child development" -- "family relations"
"child development" -- "child psychopathology"
"plant viruses" -- "transcriptomics"
"fire science" -- "heat transfer"
"cancer evolution" -- "cancer genomics"
"coping" -- "stress"
"solid-state circuits" -- "systems"
"origin of life" -- "astrobiology"
"origin of life" -- "protocells"
"origin of life" -- "prebiotic chemistry"
"perspective taking" -- "work design"
"sequencing" -- "genomics"
"sensor technology" -- "signal processing"
"sensor technology" -- "ee"
"photoelectrochemical cells" -- "materials science"
"laboratory phonology" -- "phonetics"
"workforce development" -- "economic development"
"latino politics" -- "immigration politics"
"reproductive isolation" -- "speciation"
"hypnosis" -- "pain"
"satellite oceanography" -- "physical oceanography"
"polymer membranes" -- "electrodes"
"polymer membranes" -- "fuel cells"
"load forecasting" -- "neural networks"
"ux" -- "hci"
"ux" -- "usability evaluation"
"ux" -- "réalité virtuelle"
"genetic resources" -- "population genetics"
"genetic resources" -- "grasses"
"traffic" -- "transportation"
"traffic" -- "microsimulation"
"traffic" -- "atmospheric environment"
"traffic" -- "transportation psychology"
"psychology of programming" -- "empirical software engineering"
"soft condensed matter physics" -- "biophysics"
"fluid flow in porous media" -- "enhanced oil recovery"
"ecosystem dynamics" -- "remote sensing"
"auxin" -- "arabidopsis"
"contract theory" -- "game theory"
"video analysis" -- "computer vision"
"soft set theory" -- "decision making"
"high throughput phenotyping" -- "crop physiology"
"pavimentos" -- "transportation"
"amyloidosis" -- "multiple myeloma"
"childhood studies" -- "young adult literature"
"uwb radar" -- "signal processing"
"secure systems" -- "privacy"
"microeconomia" -- "economia"
"electronic literature" -- "digital humanities"
"aprendizaje automático" -- "inteligencia artificial"
"tidal power" -- "renewable energy"
"p2p systems" -- "distributed systems"
"quality control" -- "statistical process control"
"online learning" -- "educational technology"
"online learning" -- "distance"
"online learning" -- "social presence"
"online learning" -- "first year experience"
"online learning" -- "eportfolio"
"online learning" -- "classroom assessment"
"embedded design" -- "computer architecture"
"perceptual dialectology" -- "language attitudes"
"perceptual dialectology" -- "sociophonetics"
"interpreting" -- "translation"
"human rights" -- "indigenous peoples"
"human rights" -- "constitutional law"
"human rights" -- "refugee law"
"human rights" -- "religious freedom"
"human rights" -- "international courts"
"human rights" -- "genocide"
"human rights" -- "peace education"
"human rights" -- "comparative constitutional law"
"human rights" -- "international relations"
"human rights" -- "human rights education"
"human rights" -- "discrimination law"
"human rights" -- "right to health"
"human rights" -- "forced migration"
"human rights" -- "transitional justice"
"human rights" -- "mass violence"
"human rights" -- "legal pluralism"
"human rights" -- "women s rights"
"human rights" -- "torture"
"human rights" -- "international law"
"human rights" -- "responsibility to protect"
"institutional analysis" -- "property theory"
"institutional analysis" -- "environmental regulation"
"institutional analysis" -- "natural resource management"
"institutional analysis" -- "landscape analysis"
"dss" -- "erp"
"biogeochemistry" -- "organic geochemistry"
"biogeochemistry" -- "urban ecosystems"
"biogeochemistry" -- "deep biosphere"
"biogeochemistry" -- "carbon"
"biogeochemistry" -- "methane"
"biogeochemistry" -- "blue carbon"
"biogeochemistry" -- "denitrification"
"biogeochemistry" -- "geomicrobiology"
"biogeochemistry" -- "contaminant hydrology"
"biogeochemistry" -- "soil ecology"
"biogeochemistry" -- "silicon cycle"
"biogeochemistry" -- "stable isotopes"
"biogeochemistry" -- "sulfur cycle"
"biogeochemistry" -- "soil processes"
"biogeochemistry" -- "subsurface hydrology"
"biogeochemistry" -- "ecosystem science"
"biogeochemistry" -- "hyporheic exchange"
"biogeochemistry" -- "wetlands"
"biogeochemistry" -- "global change ecology"
"biogeochemistry" -- "dissolved organic matter"
"biogeochemistry" -- "soil organic matter"
"biogeochemistry" -- "nutrient cycling"
"biogeochemistry" -- "nitrogen"
"biogeochemistry" -- "soil microbial ecology"
"biogeochemistry" -- "sediment"
"terror management theory" -- "supernatural beliefs"
"behavioral endocrinology" -- "animal behavior"
"molecular self-assembly" -- "surface science"
"empirical software engineering" -- "software quality assurance"
"empirical software engineering" -- "software cost estimation"
"processor architecture" -- "fpga architecture"
"processor architecture" -- "computer architecture"
"power market" -- "smart grid"
"oral" -- "maxillofacial surgery"
"oral" -- "maxillofacial radiology"
"oral" -- "maxillofacial pathology"
"coastal" -- "maritime law"
"coastal" -- "aeolian geomorphology"
"coastal" -- "estuarine processes"
"coastal" -- "marine ecosystems"
"obstructive sleep apnea" -- "sleep medicine"
"obstructive sleep apnea" -- "chronic obstructive pulmonary disease"
"free radicals" -- "protein oxidation"
"free radicals" -- "antioxidants"
