"teacher professional development" -- "mathematics education"
"natural products" -- "biosynthesis"
"natural products" -- "phytochemistry"
"natural products" -- "chemical biology"
"physics education research" -- "science education"
"community" -- "crime"
"civil engineering" -- "pavement"
"civil engineering" -- "geotechnics"
"civil engineering" -- "structural engineering"
"food systems" -- "sustainability"
"energy efficiency" -- "thermal comfort"
"energy efficiency" -- "renewable energy"
"protein chemistry" -- "biochemistry"
"greenhouse gas emissions" -- "climate change"
"marine mammals" -- "conservation biology"
"opioids" -- "pain"
"geomorphology" -- "coastal processes"
"geomorphology" -- "quaternary"
"geomorphology" -- "quaternary science"
"geomorphology" -- "hydrology"
"geomorphology" -- "geoarchaeology"
"geomorphology" -- "physical geography"
"geomorphology" -- "geology"
"geomorphology" -- "rivers"
"geomorphology" -- "landscape evolution"
"geomorphology" -- "natural hazards"
"environmental justice" -- "climate change"
"interfacial phenomena" -- "colloids"
"quality of service" -- "quality of experience"
"cell" -- "molecular biology"
"brain development" -- "neuroimaging"
"cognitive development" -- "developmental cognitive neuroscience"
"cognitive development" -- "language development"
"omics" -- "bioinformatics"
"industrial relations" -- "human resource management"
"behavioral finance" -- "empirical asset pricing"
"behavioral finance" -- "household finance"
"behavioral finance" -- "asset pricing"
"microbial diversity" -- "microbial ecology"
"social stratification" -- "demography"
"pragmatics" -- "semantics"
"pragmatics" -- "discourse"
"archaeology" -- "landscape archaeology"
"archaeology" -- "historical archaeology"
"archaeology" -- "landscape"
"archaeology" -- "zooarchaeology"
"archaeology" -- "material culture"
"archaeology" -- "heritage"
"archaeology" -- "anthropology"
"archaeology" -- "prehistory"
"archaeology" -- "archaeometry"
"archaeology" -- "historical ecology"
"gamification" -- "serious games"
"laser diagnostics" -- "combustion"
"rehabilitation" -- "physiotherapy"
"rehabilitation" -- "cerebral palsy"
"rehabilitation" -- "brain injury"
"queer theory" -- "gender"
"medical sociology" -- "gender"
"complex analysis" -- "operator theory"
"formal verification" -- "model checking"
"transport economics" -- "transport policy"
"transport economics" -- "industrial organization"
"geometric analysis" -- "differential geometry"
"evolutionary physiology" -- "ecology"
"gastroenterology" -- "immunology"
"gastroenterology" -- "hepatology"
"gastroenterology" -- "inflammatory bowel disease"
"gastroenterology" -- "endoscopy"
"political economics" -- "economics"
"semiconductor materials" -- "devices"
"molecular dynamics" -- "atomistic simulations"
"molecular dynamics" -- "biomolecular simulations"
"molecular dynamics" -- "biophysics"
"collective intelligence" -- "machine learning"
"constitutional law" -- "administrative law"
"constitutional law" -- "comparative law"
"constitutional law" -- "public law"
"constitutional law" -- "legal theory"
"epilepsy" -- "neuroscience"
"head" -- "neuroradiology"
"head" -- "neck surgery"
"head" -- "otolaryngology"
"head" -- "neck cancer"
"crowdfunding" -- "entrepreneurship"
"design thinking" -- "innovation"
"terrorism" -- "international relations"
"science studies" -- "political ecology"
"flow in porous media" -- "reservoir simulation"
"nuclear astrophysics" -- "nuclear physics"
"energy markets" -- "energy economics"
"power electronics" -- "power quality"
"power electronics" -- "renewable energy"
"power electronics" -- "hvdc"
"power electronics" -- "digital control"
"power electronics" -- "electric drives"
"power electronics" -- "dc-dc converters"
"power electronics" -- "electric vehicles"
"power electronics" -- "renewable energy sources"
"power electronics" -- "electrical machines"
"power electronics" -- "renewable energy systems"
"astrobiology" -- "planetary science"
"stm" -- "surface science"
"additive manufacturing" -- "cad"
"additive manufacturing" -- "3d printing"
"additive manufacturing" -- "rapid prototyping"
"additive manufacturing" -- "inkjet printing"
"archives" -- "library"
"numerical simulation" -- "turbulence"
"cerebellum" -- "neuroscience"
"historical geography" -- "cultural geography"
"waves" -- "turbulence"
"autobiographical memory" -- "memory"
"semantic web" -- "ontology engineering"
"semantic web" -- "web science"
"semantic web" -- "social web"
"semantic web" -- "ontologies"
"semantic web" -- "artificial intelligence"
"semantic web" -- "provenance"
"semantic web" -- "open data"
"engineering education" -- "science education"
"multisensory integration" -- "attention"
"functional connectivity" -- "fmri"
"antarctica" -- "glaciology"
"refugees" -- "migration"
"refugees" -- "humanitarianism"
"learning sciences" -- "science education"
"learning sciences" -- "stem education"
"afm" -- "nanotechnology"
"imaging" -- "computer vision"
"imaging" -- "video processing"
"nanoscience" -- "nanotechnology"
"maternal" -- "child health"
"hypoxia" -- "pulmonary hypertension"
"local government" -- "public administration"
"geomicrobiology" -- "biogeochemistry"
"sexual orientation" -- "gender"
"genetic programming" -- "artificial intelligence"
"printed electronics" -- "organic electronics"
"particle technology" -- "chemical engineering"
"parasitology" -- "immunology"
"parasitology" -- "malaria"
"neuroimaging" -- "diffusion tensor imaging"
"neuroimaging" -- "diffusion mri"
"neuroimaging" -- "clinical neuroscience"
"neuroimaging" -- "neuroscience"
"neuroimaging" -- "schizophrenia"
"psychotherapy" -- "clinical psychology"
"cooperative control" -- "multi-agent systems"
"organizational economics" -- "industrial organization"
"elections" -- "voting"
"elections" -- "parties"
"elections" -- "political parties"
"hydraulic fracturing" -- "geomechanics"
"population genetics" -- "molecular ecology"
"population genetics" -- "conservation genetics"
"population genetics" -- "ancient dna"
"population genetics" -- "evolution"
"population genetics" -- "human evolution"
"nanophotonics" -- "nanoplasmonics"
"nanophotonics" -- "photonic crystals"
"nanophotonics" -- "quantum optics"
"chemical reaction engineering" -- "catalysis"
"human resources" -- "organizational behavior"
"natural resource management" -- "ecology"
"persuasive technology" -- "hci"
"physical chemistry" -- "ultrafast spectroscopy"
"physical chemistry" -- "laser spectroscopy"
"physical chemistry" -- "biophysics"
"physical chemistry" -- "photochemistry"
"physical chemistry" -- "astrochemistry"
"physical chemistry" -- "chemical physics"
"physical chemistry" -- "computational chemistry"
"biological engineering" -- "synthetic biology"
"wsn" -- "iot"
"wetting" -- "colloids"
"autonomous systems" -- "robotics"
"recommender systems" -- "user modeling"
"recommender systems" -- "machine learning"
"capital markets" -- "financial accounting"
"er stress" -- "diabetes"
"space physics" -- "solar physics"
"space physics" -- "space weather"
"space physics" -- "ionosphere"
"biopharmaceutics" -- "pharmacokinetics"
"sociology of work" -- "employment relations"
"palaeoecology" -- "palaeontology"
"palaeoecology" -- "palaeoclimatology"
"palaeoecology" -- "palaeoclimate"
"time series econometrics" -- "macroeconomics"
"library science" -- "information science"
"wearable sensors" -- "machine learning"
"sepsis" -- "inflammation"
"hrm" -- "employment relations"
"extreme events" -- "climate change"
"photochemistry" -- "photophysics"
"corrosion" -- "electrochemistry"
"corrosion" -- "coatings"
"applied mechanics" -- "computational mechanics"
"heuristic search" -- "artificial intelligence"
"bridge engineering" -- "earthquake engineering"
"surface chemistry" -- "nanotechnology"
"media effects" -- "health communication"
"media effects" -- "media psychology"
"media effects" -- "political communication"
"5g" -- "wireless communications"
"performance management" -- "performance measurement"
"arachnology" -- "behavioral ecology"
"lte" -- "wireless communications"
"microeconometrics" -- "labor economics"
"path planning" -- "robotics"
"pediatrics" -- "neonatology"
"pediatrics" -- "infectious diseases"
"publishing" -- "scholarly communication"
"wind energy" -- "renewable energy"
"mobile technology" -- "social media"
"copd" -- "asthma"
"diagnosis" -- "fault detection"
"diagnosis" -- "machine learning"
"iii-v semiconductors" -- "optoelectronics"
"migration studies" -- "sociology"
"mechanical properties" -- "microstructure"
"formacin del profesorado" -- "educacin"
"fungi" -- "evolution"
"disturbance ecology" -- "forest ecology"
"computational structural biology" -- "bioinformatics"
"visual analytics" -- "information visualization"
"women s health" -- "reproductive health"
"computational genomics" -- "bioinformatics"
"big data" -- "cloud computing"
"big data" -- "machine learning"
"peatlands" -- "hydrology"
"political communication" -- "journalism"
"political communication" -- "social media"
"earnings management" -- "corporate governance"
"vlsi design" -- "computer architecture"
"acquisitions" -- "mergers"
"architecture" -- "design"
"architecture" -- "landscape architecture"
"architecture" -- "sustainable design"
"architecture" -- "art"
"architecture" -- "urban history"
"architecture" -- "space"
"architecture" -- "urban design"
"architecture" -- "computational design"
"architecture" -- "digital fabrication"
"architecture" -- "architectural design"
"architecture" -- "urban"
"architecture" -- "architectural history"
"water splitting" -- "artificial photosynthesis"
"water splitting" -- "photocatalysis"
"logistics" -- "supply chain"
"neural engineering" -- "biomedical engineering"
"neural engineering" -- "neuroprosthetics"
"neural engineering" -- "neural interfaces"
"self-control" -- "motivation"
"abiotic stress" -- "plant physiology"
"methodology" -- "design theory"
"methodology" -- "political science"
"genetic epidemiology" -- "cancer epidemiology"
"ux" -- "hci"
"theory of mind" -- "social neuroscience"
"computational biology" -- "bioinformatics"
"computational biology" -- "structural bioinformatics"
"computational biology" -- "transcriptional regulation"
"functional ecology" -- "community ecology"
"identity" -- "gender"
"identity" -- "narrative"
"identity" -- "self"
"drug addiction" -- "neuroscience"
"development studies" -- "human geography"
"density functional theory" -- "computational materials science"
"ecological modelling" -- "conservation biology"
"aquatic ecology" -- "limnology"
"saxs" -- "biophysics"
"applied cryptography" -- "privacy"
"thermochronology" -- "tectonics"
"philosophy of cognitive science" -- "philosophy of mind"
"rf" -- "analog"
"rf" -- "microwave"
"energy policy" -- "environmental policy"
"energy policy" -- "energy economics"
"catalyst" -- "nanomaterials"
"tourism" -- "recreation"
"tourism" -- "hospitality"
"tourism" -- "leisure"
"tourism" -- "sustainable tourism"
"tourism" -- "marketing"
"metabolic disease" -- "obesity"
"food security" -- "climate change adaptation"
"food security" -- "climate change"
"periodismo" -- "journalism"
"periodismo" -- "comunicacin"
"periodismo" -- "redes sociales"
"combustion" -- "alternative fuels"
"combustion" -- "ic engines"
"combustion" -- "thermoacoustics"
"combustion" -- "emissions"
"combustion" -- "propulsion"
"combustion" -- "energy"
"combustion" -- "chemical kinetics"
"combustion" -- "gasification"
"combustion" -- "sprays"
"combustion" -- "cfd"
"construction materials" -- "concrete"
"verification" -- "validation"
"verification" -- "formal methods"
"smart home" -- "machine learning"
"arctic" -- "climate change"
"soil physics" -- "hydrology"
"european integration" -- "international relations"
"space" -- "place"
"critical" -- "cultural studies"
"marine" -- "ecology"
"multi-agent systems" -- "artificial intelligence"
"multi-agent systems" -- "networked control systems"
"finite elements" -- "computational mechanics"
"market design" -- "mechanism design"
"market design" -- "matching"
"bioorganic chemistry" -- "chemical biology"
"wireless" -- "mobile networks"
"redox biology" -- "biochemistry"
"defects" -- "semiconductors"
"distributed generation" -- "smart grid"
"information visualization" -- "human-computer interaction"
"nutrition" -- "epidemiology"
"nutrition" -- "fatty acids"
"nutrition" -- "body composition"
"nutrition" -- "exercise physiology"
"nutrition" -- "obesity"
"nutrition" -- "lipids"
"nutrition" -- "dietetics"
"nutrition" -- "vitamin d"
"african studies" -- "anthropology"
"bioethics" -- "environmental ethics"
"bioethics" -- "health law"
"bioethics" -- "ethics"
"bioethics" -- "research ethics"
"exercise psychology" -- "sport"
"children s literature" -- "literacy"
"historia" -- "historia del arte"
"historia" -- "educacin"
"historia" -- "arqueologa"
"gynecology" -- "obstetrics"
"nitrogen" -- "biogeochemistry"
"nitrogen" -- "phosphorus"
"gene therapy" -- "neuroscience"
"transcriptomics" -- "genomics"
"nonlinear optics" -- "fiber lasers"
"nonlinear optics" -- "silicon photonics"
"nonlinear optics" -- "nonlinear waves"
"nonlinear optics" -- "quantum optics"
"nonlinear optics" -- "ultrafast lasers"
"nonlinear optics" -- "solitons"
"nonlinear optics" -- "laser physics"
"nonlinear optics" -- "optical fiber"
"cities" -- "urban planning"
"conflict" -- "peacebuilding"
"conflict" -- "peace"
"conflict" -- "international relations"
"conflict" -- "negotiation"
"organizational culture" -- "leadership"
"east asia" -- "china"
"spatial planning" -- "urban planning"
"metal-organic frameworks" -- "catalysis"
"dna damage" -- "repair"
"interface science" -- "colloids"
"india" -- "gender"
"digital communications" -- "signal processing"
"ipos" -- "corporate finance"
"feminist theory" -- "gender"
"integer programming" -- "operations research"
"neutron" -- "x-ray scattering"
"human rights law" -- "international law"
"smart grid" -- "power system operation"
"smart grid" -- "demand response"
"smart grid" -- "smart buildings"
"smart grid" -- "power system protection"
"international relations" -- "civil war"
"international relations" -- "japan"
"international relations" -- "china"
"international relations" -- "security studies"
"international relations" -- "war"
"international relations" -- "international conflict"
"international relations" -- "us foreign policy"
"international relations" -- "international political economy"
"international relations" -- "international security"
"international relations" -- "foreign policy"
"international relations" -- "foreign aid"
"international relations" -- "political science"
"international relations" -- "foreign policy analysis"
"plant nutrition" -- "plant physiology"
"plant nutrition" -- "soil fertility"
"cloud security" -- "cloud computing"
"landscape genetics" -- "conservation biology"
"medical robotics" -- "robotics"
"emc" -- "electromagnetics"
"endodontics" -- "dentistry"
"metaethics" -- "philosophy of language"
"food safety" -- "food microbiology"
"latina" -- "ethnicity"
"lithic technology" -- "human evolution"
"digital image processing" -- "machine learning"
"freshwater ecology" -- "conservation biology"
"systems biology" -- "systems medicine"
"systems biology" -- "synthetic biology"
"systems biology" -- "cancer metabolism"
"systems biology" -- "cell cycle"
"systems biology" -- "network biology"
"systems biology" -- "bioinformatics"
"autophagy" -- "cell death"
"electoral systems" -- "political parties"
"political ecology" -- "political economy"
"political ecology" -- "environmental governance"
"structural analysis" -- "computational mechanics"
"cfd" -- "hydrodynamics"
"cfd" -- "cavitation"
"cfd" -- "mass transfer"
"cfd" -- "thermal engineering"
"self-regulated learning" -- "metacognition"
"electronic commerce" -- "information systems"
"gan" -- "semiconductors"
"gan" -- "zno"
"computational mathematics" -- "applied"
"reservoir engineering" -- "reservoir simulation"
"reservoir engineering" -- "petroleum engineering"
"reservoir engineering" -- "enhanced oil recovery"
"sedimentary geology" -- "tectonics"
"ms" -- "lc-ms"
"decision science" -- "operations research"
"calcium" -- "mitochondria"
"wildlife biology" -- "conservation biology"
"data structures" -- "algorithms"
"data structures" -- "data compression"
"data structures" -- "graph algorithms"
"cartography" -- "geovisualization"
"cartography" -- "gis"
"dna sequencing" -- "genomics"
"reconfigurable computing" -- "computer architecture"
"biomass" -- "lignin"
"bayesian methods" -- "machine learning"
"antibodies" -- "immunology"
"computer graphics" -- "geometric modeling"
"computer graphics" -- "scientific visualization"
"computer graphics" -- "visual computing"
"computer graphics" -- "animation"
"computer graphics" -- "visualization"
"computer graphics" -- "geometry processing"
"computer graphics" -- "computer vision"
"computer graphics" -- "computer animation"
"computer graphics" -- "virtual reality"
"computer graphics" -- "cultural heritage"
"computer graphics" -- "rendering"
"molecular systematics" -- "phylogenetics"
"geoscience" -- "geology"
"human computation" -- "crowdsourcing"
"cultural geography" -- "human geography"
"cultural geography" -- "social geography"
"slam" -- "robotics"
"networked systems" -- "cloud computing"
"public transport" -- "transportation planning"
"monetary policy" -- "macroeconomics"
"quantum gases" -- "ultracold atoms"
"bifurcation theory" -- "dynamical systems"
"plant-animal interactions" -- "ecology"
"institutional repositories" -- "open access"
"program evaluation" -- "research methods"
"neuroeconomics" -- "decision neuroscience"
"organic semiconductors" -- "photovoltaics"
"computer security" -- "cryptography"
"gas separation" -- "membranes"
"speciation" -- "evolution"
"speciation" -- "hybridization"
"dna nanotechnology" -- "synthetic biology"
"learning" -- "memory"
"learning" -- "teaching"
"learning" -- "scholarship of teaching"
"plant ecophysiology" -- "climate change"
"stream ecology" -- "biogeochemistry"
"informatics" -- "computer science"
"product design" -- "design"
"hydrology" -- "water resources management"
"hydrology" -- "watershed modeling"
"hydrology" -- "sediment transport"
"hydrology" -- "watershed management"
"hydrology" -- "hydrogeology"
"hydrology" -- "irrigation"
"hydrology" -- "land-atmosphere interactions"
"hydrology" -- "water resources engineering"
"hydrology" -- "soil erosion"
"hydrology" -- "water quality modeling"
"hydrology" -- "hydroinformatics"
"hydrology" -- "hydrological modeling"
"hydrology" -- "climate"
"hydrology" -- "water resources"
"hydrology" -- "hydraulics"
"hydrology" -- "climate change"
"hydrology" -- "ecohydrology"
"hydrology" -- "fluvial geomorphology"
"quantum measurement" -- "quantum optics"
"applied linguistics" -- "tesol"
"applied linguistics" -- "language learning"
"applied linguistics" -- "language education"
"applied linguistics" -- "sla"
"applied linguistics" -- "second language acquisition"
"applied linguistics" -- "call"
"recycling" -- "waste management"
"affective computing" -- "social signal processing"
"affective computing" -- "machine learning"
"nanostructures" -- "semiconductors"
"european union" -- "comparative politics"
"cognitive robotics" -- "artificial intelligence"
"sociology of science" -- "technology"
"corporate communication" -- "public relations"
"plate tectonics" -- "geophysics"
"neurogenetics" -- "neuroscience"
"optical interconnects" -- "silicon photonics"
"disability studies" -- "gender studies"
"graph theory" -- "algorithms"
"graph theory" -- "combinatorics"
"graph theory" -- "discrete mathematics"
"graph theory" -- "linear algebra"
"probability theory" -- "stochastic processes"
"probability theory" -- "mathematical finance"
"disclosure" -- "accounting"
"exercise physiology" -- "conditioning"
"exercise physiology" -- "sports science"
"gravitation" -- "cosmology"
"infection" -- "immunology"
"infection" -- "immunity"
"political philosophy" -- "ethics"
"political philosophy" -- "political theory"
"political philosophy" -- "moral philosophy"
"political philosophy" -- "philosophy of law"
"political philosophy" -- "social"
"structural mechanics" -- "computational mechanics"
"insects" -- "evolution"
"psycholinguistics" -- "language acquisition"
"psycholinguistics" -- "second language acquisition"
"psycholinguistics" -- "bilingualism"
"psycholinguistics" -- "neurolinguistics"
"graphical models" -- "machine learning"
"information science" -- "library"
"information science" -- "librarianship"
"information science" -- "knowledge organization"
"process monitoring" -- "process control"
"energy storage materials" -- "nanotechnology"
"education economics" -- "health economics"
"bats" -- "ecology"
"atherosclerosis" -- "vascular biology"
"autonomy" -- "robotics"
"mixing" -- "turbulence"
"strategy" -- "innovation"
"strategy" -- "management"
"stochastic optimization" -- "operations research"
"communication theory" -- "information theory"
"petroleum engineering" -- "geomechanics"
"computational finance" -- "machine learning"
"fuels" -- "energy"
"storage" -- "carbon capture"
"storage" -- "energy conversion"
"integrated circuits" -- "rfic"
"integrated circuits" -- "systems"
"integrated circuits" -- "cmos"
"conflict management" -- "negotiation"
"cardiac" -- "surgery"
"food engineering" -- "food science"
"igneous petrology" -- "geochemistry"
"neuroscience" -- "fmri"
"neuroscience" -- "brain"
"neuroscience" -- "neuropharmacology"
"neuroscience" -- "parkinson s disease"
"neuroscience" -- "alzheimer s disease"
"neuroscience" -- "psychiatric disorders"
"neuroscience" -- "vision"
"neuroscience" -- "neurodevelopment"
"neuroscience" -- "neuroimmunology"
"neuroscience" -- "physiology"
"neuroscience" -- "neural circuits"
"neuroscience" -- "synapses"
"neuroscience" -- "neurobiology"
"neuroscience" -- "biomedical engineering"
"neuroscience" -- "connectomics"
"neuroscience" -- "brain stimulation"
"neuroscience" -- "neural plasticity"
"neuroscience" -- "stress"
"neuroscience" -- "neuroengineering"
"neuroscience" -- "neurodevelopmental disorders"
"neuroscience" -- "astrocytes"
"neuroscience" -- "synaptic plasticity"
"neuroscience" -- "sleep"
"neuroscience" -- "anesthesiology"
"neuroscience" -- "neuroendocrinology"
"neuroscience" -- "psychology"
"neuroscience" -- "neuropsychopharmacology"
"neuroscience" -- "neurochemistry"
"neuroscience" -- "synaptic transmission"
"neuroscience" -- "neuroplasticity"
"neuroscience" -- "ophthalmology"
"neuroscience" -- "ion channels"
"neuroscience" -- "neuropathology"
"neuroscience" -- "basal ganglia"
"neuroscience" -- "neurogenesis"
"neuroscience" -- "neurodegeneration"
"neuroscience" -- "alzheimer disease"
"neuroscience" -- "psychopharmacology"
"neuroscience" -- "brain imaging"
"neuroscience" -- "optical imaging"
"neuroscience" -- "alzheimer s"
"neuroscience" -- "neurotoxicology"
"neuroscience" -- "autism"
"neuroscience" -- "dopamine"
"neuroscience" -- "neurophysiology"
"neuroscience" -- "neuroinflammation"
"neuroscience" -- "pain"
"neuroscience" -- "psychiatry"
"international development" -- "gender"
"thermodynamics" -- "kinetics"
"teacher education" -- "technology integration"
"teacher education" -- "science education"
"teacher education" -- "professional development"
"teacher education" -- "teacher learning"
"teacher education" -- "history of education"
"teacher education" -- "multicultural education"
"teacher education" -- "english education"
"teacher education" -- "curriculum studies"
"insurance" -- "risk management"
"buddhism" -- "religion"
"criminal justice" -- "criminology"
"diagnostics" -- "prognostics"
"membrane separation" -- "water treatment"
"visual search" -- "computer vision"
"environmental studies" -- "cultural studies"
"middle east" -- "islam"
"regional science" -- "economic geography"
"inclusive design" -- "ergonomics"
"superconductors" -- "topological insulators"
"gravity" -- "cosmology"
"dispersal" -- "ecology"
"privacy" -- "security"
"privacy" -- "surveillance"
"zebrafish" -- "developmental biology"
"ocean acidification" -- "climate change"
"implementation" -- "dissemination"
"drug discovery" -- "medicinal chemistry"
"computational creativity" -- "artificial intelligence"
"management accounting" -- "performance measurement"
"management accounting" -- "corporate governance"
"dynamics" -- "control"
"dynamics" -- "vibration"
"insomnia" -- "sleep"
"nanoscale heat transfer" -- "thermoelectrics"
"medical image computing" -- "medical image analysis"
"multimedia" -- "computer vision"
"peptide chemistry" -- "medicinal chemistry"
"behavioral neuroscience" -- "behavioral neuroendocrinology"
"quantum information theory" -- "quantum optics"
"business process management" -- "process mining"
"business process management" -- "information systems"
"business process management" -- "business process modeling"
"indigenous studies" -- "anthropology"
"economic geography" -- "innovation"
"economic geography" -- "regional development"
"economic geography" -- "political geography"
"macrophages" -- "inflammation"
"social network sites" -- "social media"
"gerontology" -- "geriatrics"
"gerontology" -- "aging"
"biopolymers" -- "polymers"
"fish" -- "ecology"
"web 2.0" -- "social media"
"teleoperation" -- "robotics"
"adsorption" -- "catalysis"
"quantum gravity" -- "quantum field theory"
"adaptation" -- "climate change"
"tic" -- "tecnologa educativa"
"tic" -- "educacin"
"tectonics" -- "surface processes"
"tectonics" -- "geology"
"tectonics" -- "marine geophysics"
"tectonics" -- "structural geology"
"tectonics" -- "metamorphic petrology"
"microbial genomics" -- "bioinformatics"
"soil biology" -- "microbial ecology"
"intimate partner violence" -- "sexual assault"
"intimate partner violence" -- "domestic violence"
"prejudice" -- "stereotyping"
"prejudice" -- "discrimination"
"scanning probe microscopy" -- "surface science"
"epidemiology" -- "veterinary medicine"
"epidemiology" -- "cardiovascular epidemiology"
"epidemiology" -- "paediatrics"
"epidemiology" -- "zoonoses"
"epidemiology" -- "vector-borne diseases"
"epidemiology" -- "chronic disease"
"epidemiology" -- "child health"
"epidemiology" -- "oral health"
"epidemiology" -- "biostatistics"
"epidemiology" -- "obstetrics"
"epidemiology" -- "environmental health"
"epidemiology" -- "population health"
"epidemiology" -- "mathematical modeling"
"epidemiology" -- "medical statistics"
"spintronics" -- "magnetism"
"spintronics" -- "nanomagnetism"
"early childhood" -- "parenting"
"predator-prey interactions" -- "ecology"
"mineral physics" -- "geophysics"
"ecological genetics" -- "evolutionary biology"
"occupational" -- "work"
"presidency" -- "american politics"
"computer supported cooperative work" -- "human-computer interaction"
"social movements" -- "collective action"
"social movements" -- "environmental sociology"
"social movements" -- "historical sociology"
"social movements" -- "gender"
"social movements" -- "civil society"
"social movements" -- "activism"
"social work" -- "child welfare"
"social work" -- "mental health"
"biophysics" -- "polymer physics"
"biophysics" -- "super-resolution microscopy"
"biophysics" -- "fluorescence microscopy"
"biophysics" -- "molecular motors"
"biophysics" -- "fluorescence"
"biophysics" -- "magnetic resonance"
"biophysics" -- "protein folding"
"biophysics" -- "soft matter physics"
"biophysics" -- "soft condensed matter"
"biophysics" -- "atomic force microscopy"
"biophysics" -- "fluorescence spectroscopy"
"biophysics" -- "soft condensed matter physics"
"biophysics" -- "biochemistry"
"biophysics" -- "proteins"
"biophysics" -- "dna"
"biophysics" -- "cell motility"
"biophysics" -- "photobiology"
"biophysics" -- "single molecule"
"biophysics" -- "statistical mechanics"
"biophysics" -- "intrinsically disordered proteins"
"neutrinos" -- "dark matter"
"functional programming" -- "programming languages"
"rehabilitation robotics" -- "robotics"
"phylogenetics" -- "macroevolution"
"phylogenetics" -- "plant evolution"
"phylogenetics" -- "evolution"
"phylogenetics" -- "phylogeography"
"nanotechnology" -- "semiconductors"
"nanotechnology" -- "nanotubes"
"nanotechnology" -- "electronics"
"nanotechnology" -- "mems"
"nanotechnology" -- "solar cells"
"nanotechnology" -- "materials engineering"
"nanotechnology" -- "process engineering"
"nanotechnology" -- "colloidal chemistry"
"nanotechnology" -- "nanowires"
"nanotechnology" -- "gas sensors"
"nanotechnology" -- "biosensors"
"nanotechnology" -- "graphene"
"nanotechnology" -- "advanced materials"
"nanotechnology" -- "electronic devices"
"nanotechnology" -- "nanopore"
"cryptology" -- "information security"
"process control" -- "process optimization"
"surgery" -- "general"
"surgery" -- "trauma"
"surgery" -- "medicine"
"fiber optics" -- "optical fiber sensors"
"thz" -- "terahertz"
"cultural evolution" -- "evolutionary anthropology"
"cultural evolution" -- "social learning"
"cultural evolution" -- "language evolution"
"security" -- "access control"
"security" -- "cryptography"
"pet" -- "spect"
"pet" -- "mri"
"pet" -- "ct"
"cognitive engineering" -- "human factors"
"optical coherence tomography" -- "biomedical optics"
"genetic algorithms" -- "artificial intelligence"
"business" -- "management"
"perceptual learning" -- "vision"
"special education" -- "autism"
"special education" -- "inclusive education"
"regional planning" -- "urban"
"electronic health records" -- "biomedical informatics"
"discrete event systems" -- "petri nets"
"metacognition" -- "memory"
"upconversion" -- "photovoltaics"
"organic synthesis" -- "medicinal chemistry"
"visualisation" -- "bioinformatics"
"moral psychology" -- "ethics"
"consumer behaviour" -- "social marketing"
"consumer behaviour" -- "tourism marketing"
"consumer behaviour" -- "marketing"
"mobile communication" -- "wireless communications"
"topological insulators" -- "condensed matter physics"
"retailing" -- "marketing"
"ads" -- "string theory"
"mobile health" -- "machine learning"
"bees" -- "pollination"
"thrombosis" -- "coagulation"
"thrombosis" -- "platelets"
"thrombosis" -- "hematology"
"urban planning" -- "urban design"
"urban planning" -- "housing policy"
"urban planning" -- "public participation"
"urban planning" -- "housing"
"urban planning" -- "urban governance"
"urban planning" -- "urban policy"
"photovoltaics" -- "solar energy"
"photovoltaics" -- "solar cells"
"photovoltaics" -- "silicon"
"theoretical" -- "computational chemistry"
"computational mechanics" -- "isogeometric analysis"
"computational mechanics" -- "materials modelling"
"computational mechanics" -- "continuum mechanics"
"computational mechanics" -- "structural optimization"
"computational mechanics" -- "numerical methods"
"computational mechanics" -- "boundary element method"
"computational mechanics" -- "multiscale modeling"
"computational mechanics" -- "solid mechanics"
"network design" -- "operations research"
"soil ecology" -- "biogeochemistry"
"ethnic politics" -- "race"
"ethnic politics" -- "racial"
"csr" -- "sustainability"
"applied microeconometrics" -- "labour economics"
"materials design" -- "computational materials science"
"digital" -- "social media"
"multimedia security" -- "image processing"
"latin america" -- "mexico"
"latin america" -- "comparative politics"
"synchronization" -- "nonlinear dynamics"
"information technology" -- "computer science"
"resource management" -- "cloud computing"
"operator theory" -- "functional analysis"
"environmental" -- "resource economics"
"les" -- "turbulence"
"manipulation" -- "robotics"
"mutual funds" -- "institutional investors"
"mutual funds" -- "hedge funds"
"mutual funds" -- "investments"
"globalization" -- "gender"
"film" -- "cinema"
"film" -- "television"
"film" -- "media"
"measurement" -- "instrumentation"
"measurement" -- "radiation detection"
"arithmetic geometry" -- "number theory"
"financial reporting" -- "corporate governance"
"photoacoustic imaging" -- "ultrasound imaging"
"photoacoustic imaging" -- "ultrasound"
"viruses" -- "immunology"
"auctions" -- "industrial organization"
"cooperation" -- "evolution"
"hormones" -- "behavior"
"vascular surgery" -- "general surgery"
"low temperature physics" -- "condensed matter physics"
"child welfare" -- "child maltreatment"
"theory" -- "algorithms"
"medical education" -- "assessment"
"medical education" -- "emergency medicine"
"philosophy of biology" -- "philosophy of science"
"interfacial science" -- "colloids"
"hydrogen production" -- "fuel cells"
"pest management" -- "entomology"
"psychiatry" -- "neuropsychiatry"
"psychiatry" -- "mental health"
"ad hoc networks" -- "wireless networks"
"wireless sensor networks" -- "mobile ad hoc networks"
"wireless sensor networks" -- "network protocols"
"systems theory" -- "control theory"
"leadership development" -- "leadership"
"gpu computing" -- "parallel computing"
"veterans" -- "ptsd"
"service management" -- "marketing"
"peace" -- "conflict studies"
"ecosystem modeling" -- "biogeochemistry"
